province Thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ÍÓ¹Ò¨à¨ÃÔ­,Amnat Charoen,15.85274545,104.7030364,0,0,0,0,189697,378165,258007,115332,4920,0,0,0
ÍèÒ§·Í§,Ang Thong,14.61094444,100.3843056,0,0,0,0,41263,41512,21798,104199,70399,31778,0,0
¡ÃØ§à·¾Ï,Bangkok,13.75785621,100.5558824,0,0,0,0,4807,5348,34138,12109,17223,7157,0,0
ºÖ§¡ÒÌ,Bueng Kan,18.15978846,103.6703269,0,0,0,0,113148,209454,166075,930,0,0,0,0
ºØÃÕÃÑÁÂì,Buri Ram,14.89489362,102.9742287,0,0,0,0,1189861,1323883,203213,7083,0,0,0,0
©ÐàªÔ§à·ÃÒ,Chachoengsao,13.68568478,101.1367174,0,0,0,0,96122,102172,134795,162427,38174,90071,0,0
ªÑÂ¹Ò·,Chai Nat,15.15194231,100.0815577,0,0,0,0,121065,165696,39458,189289,151969,22350,0,0
ªÑÂÀÙÁÔ,Chaiyaphum,15.97104065,101.9395366,0,0,0,0,165536,721265,527880,133798,7313,0,0,0
¨Ñ¹·ºØÃÕ,Chanthaburi,12.67759036,102.1161687,0,0,0,0,4740,4968,6268,2074,1774,0,0,0
àªÕÂ§ãËÁè,Chiang Mai,18.8569697,98.9199899,0,0,0,0,30223,67711,222995,101416,7566,0,0,0
àªÕÂ§ÃÒÂ,Chiang Rai,19.88303252,99.92217886,0,0,0,0,209461,258272,632649,80089,4265,0,0,0
ªÅºØÃÕ,Chon Buri,13.15463158,101.0628947,0,0,0,0,30684,2369,12602,10871,5439,6710,0,0
ªØÁ¾Ã,Chumphon,10.3336087,99.18683478,0,0,0,0,0,0,120,3827,444,683,0,0
¡ÒÌÊÔ¹¸Øì,Kalasin,16.58667669,103.6133985,0,0,0,0,371778,732185,271889,63474,0,0,0,0
¡Óá¾§à¾ªÃ,Kamphaeng Phet,16.37223377,99.65637662,0,0,0,0,232800,166406,282447,332452,131713,50484,0,0
¡Ò­¨¹ºØÃÕ,Kanchanaburi,14.22504255,99.4401383,0,0,0,0,0,269,54629,324812,4575,153,0,0
¢Í¹á¡è¹,Khon Kaen,16.35285,102.598805,0,0,0,0,382805,1353952,504691,75772,0,0,0,0
¡ÃÐºÕè,Krabi,8.009243243,98.93368468,0,0,0,0,0,138,730,3017,2531,242,0,0
ÅÓ»Ò§,Lampang,18.34986458,99.50325,0,0,0,0,9578,39584,210993,137271,0,0,0,0
ÅÓ¾Ù¹,Lamphun,18.36132,98.96236,0,0,0,0,1282,21137,76065,5743,0,0,0,0
àÅÂ,Loei,17.41748315,101.6434157,0,0,0,0,26911,70347,222845,17132,0,0,0,0
Å¾ºØÃÕ,Lop Buri,15.02860833,100.7969417,0,0,0,0,92784,118978,155378,156178,65054,26501,0,0
áÁèÎèÍ§ÊÍ¹,Mae Hong Son,18.766,98.06297674,0,0,0,0,10222,44978,68139,29233,0,0,0,0
ÁËÒÊÒÃ¤ÒÁ,Maha Sarakham,15.98990226,103.1893308,0,0,0,0,457188,1335300,267479,34588,1678,0,0,0
ÁØ¡´ÒËÒÃ,Mukdahan,16.53405769,104.5682885,0,0,0,0,0,18828,57797,409881,0,0,0,0
¹¤Ã¹ÒÂ¡,Nakhon Nayok,14.18082927,101.1229756,0,0,0,0,79384,97519,52125,73056,54038,11735,0,0
¹¤Ã»°Á,Nakhon Pathom,13.87357143,100.1243048,0,0,0,0,104140,104508,20587,80144,18248,6584,0,0
¹¤Ã¾¹Á,Nakhon Phanom,17.31057447,104.4821915,0,0,0,0,127429,724364,383855,69982,0,0,0,0
¹¤ÃÃÒªÊÕÁÒ,Nakhon Ratchasima,15.08644014,102.1976901,0,0,0,0,533145,1514742,1189163,230474,3470,0,0,0
¹¤ÃÊÇÃÃ¤ì,Nakhon Sawan,15.67782946,100.1931783,0,0,0,0,585431,499162,426627,497874,136915,0,0,0
¹¤ÃÈÃÕ¸ÃÃÁÃÒª,Nakhon Si Thammarat,8.34487574,99.86193491,60419,27157,0,0,0,1987,18373,30094,49649,81386,10655,8265
¹èÒ¹,Nan,18.8794898,100.8094286,0,0,0,0,15753,44723,104783,42561,0,0,0,0
¹ÃÒ¸ÔÇÒÊ,Narathiwat,6.234092105,101.7531711,0,0,0,0,0,0,0,0,0,27962,25925,0
Ë¹Í§ºÑÇÅÓÀÙ,Nong Bua Lam Phu,17.18251724,102.3142586,0,0,0,0,86846,393396,162975,57150,0,0,0,0
Ë¹Í§¤ÒÂ,Nong Khai,17.91401639,102.8044262,0,0,0,0,91463,161831,181297,31109,0,0,0,0
¹¹·ºØÃÕ,Nonthaburi,13.88841176,100.4345882,0,0,0,0,14477,26413,13301,9801,18650,7108,0,0
»·ØÁ¸Ò¹Õ,Pathum Thani,14.04674576,100.6253898,0,0,0,0,90127,16698,47365,83143,16794,63333,0,0
»ÑµµÒ¹Õ,Pattani,6.756087719,101.3607456,0,0,0,0,0,0,0,0,0,3568,77422,1983
¾Ñ§§Ò,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,34,1019,305,0,0,0
¾Ñ·ÅØ§,Phatthalung,7.54880303,100.0667121,23893,1357,0,0,0,4913,593,19441,29373,12012,39699,435
¾ÐàÂÒ,Phayao,19.28419403,100.0843134,0,0,0,0,28826,228901,295287,57714,0,0,0,0
à¾ªÃºÙÃ³ì,Phetchabun,16.27352174,101.110113,0,0,0,0,131041,252341,417628,154214,42245,27889,0,0
à¾ªÃºØÃÕ,Phetchaburi,13.04547253,99.88163736,0,0,0,0,10340,11910,49597,191959,26250,6222,0,0
¾Ô¨ÔµÃ,Phichit,16.25902273,100.3543182,0,0,0,0,285382,388929,349864,397872,146848,0,0,0
¾ÔÉ³ØâÅ¡,Phitsanulok,16.87664516,100.3781935,0,0,0,0,242241,340942,419849,275501,68000,0,0,0
ÍÂØ¸ÂÒ,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,0,0,0,0,237899,124844,78381,34813,86446,126980,0,0
á¾Ãè,Phrae,18.15474026,100.0967013,0,0,0,0,0,16383,214427,37257,942,0,0,0
ÀÙà¡çµ,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,0,69,0,0,0
»ÃÒ¨Õ¹ºØÃÕ,Prachin Buri,13.99596825,101.5334444,0,0,0,0,82962,184187,96853,8281,193,14472,0,0
»ÃÐ¨Çº¤ÕÃÕ¢Ñ¹¸ì,Prachuap Khiri Khan,11.87997872,99.66968085,0,0,0,0,1134,760,7556,7408,3521,971,0,0
ÃÐ¹Í§,Ranong,9.84295,98.57283333,0,0,0,0,0,284,348,19,402,47,0,0
ÃÒªºØÃÕ,Ratchaburi,13.60378641,99.80105825,0,0,0,0,2384,2526,13140,255030,5165,5563,0,0
ÃÐÂÍ§,Rayong,12.77290909,101.4139394,0,0,0,0,3338,1661,4435,7189,104,832,0,0
ÃéÍÂàÍç´,Roi Et,15.94159686,103.8014241,0,0,0,0,1207938,1255903,490582,64055,17304,0,0,0
ÊÃÐá¡éÇ,Sa kaeo,13.72012069,102.3403103,0,0,0,0,91358,444202,190372,9791,442,0,0,0
Ê¡Å¹¤Ã,Sakon Nakhon,17.40146774,103.8297419,0,0,0,0,281309,957052,631494,132345,0,0,0,0
ÊÁØ·Ã»ÃÒ¡ÒÃ,Samut Prakarn,13.61855102,100.655449,0,0,0,0,6585,3542,1307,7053,2643,360,0,0
ÊÁØ·ÃÊÒ¤Ã,Samut Sakhon,13.58789744,100.2134103,0,0,0,0,569,1452,1733,3219,414,606,0,0
ÊÁØ·ÃÊ§¤ÃÒÁ,Samut Songkhram,13.43411429,99.95694286,0,0,0,0,0,445,2889,228,0,0,0,0
ÊÃÐºØÃÕ,Saraburi,14.55531481,100.8865463,0,0,0,0,37886,38188,108993,87824,20593,9358,0,0
ÊµÙÅ,Satun,6.695068182,99.72796591,0,0,0,0,0,0,0,5810,16598,2604,0,0
ÈÃÕÊÐà¡É,Si Sa Ket,14.94141872,104.3277783,0,0,0,0,1998964,831867,107605,17737,0,0,0,0
ÊÔ§ËìºØÃÕ,Sing Buri,14.88357143,100.3582143,0,0,0,0,54627,65312,28193,66138,43595,8607,0,0
Ê§¢ÅÒ,Songkhla,7.117804348,100.5218768,24705,0,0,0,0,0,602,13968,30063,38291,12984,80075
ÊØâ¢·ÑÂ,Sukhothai,17.1496,99.79715294,0,0,0,0,67380,83427,199512,330142,129880,128097,0,0
ÊØ¾ÃÃ³ºØÃÕ,Suphan Buri,14.53585185,100.015287,0,0,0,0,437316,153669,109165,363361,179325,66102,0,0
ÊØÃÒÉ®Ãì¸Ò¹Õ,Surat Thani,9.228121053,99.40556316,0,0,0,0,0,3536,604,409,436,310,0,0
ÊØÃÔ¹·Ãì,Surin,14.93708228,103.669962,0,0,0,0,1564486,1251589,263265,3391,0,0,0,0
µÒ¡,Tak,16.84066102,98.83098305,0,0,0,0,7663,57208,94414,50889,3288,0,0,0
µÃÑ§,Trang,7.479578947,99.55433333,0,0,0,0,0,0,42,3975,6612,1663,0,0
µÃÒ´,Trat,12.10803774,102.4909057,0,0,0,0,4209,7447,3812,802,0,0,0,0
ÍØºÅÃÒª¸Ò¹Õ,Ubon Ratchathani,15.27789498,105.0215845,0,0,0,0,2228742,947519,449625,170272,4561,0,0,0
ÍØ´Ã¸Ò¹Õ,Udon Thani,17.40975974,102.883539,0,0,0,0,349032,300083,826406,206560,0,0,0,0
ÍØ·ÑÂ¸Ò¹Õ,Uthai Thani,15.37220588,99.80179412,0,0,0,0,29953,6547,91832,215635,104432,0,0,0
ÍØµÃ´Ôµ¶ì,Uttaradit,17.63522727,100.3226667,0,0,0,0,18967,63557,198226,208738,38832,0,0,0
ÂÐÅÒ,Yala,6.389631579,101.2610877,0,0,0,0,0,0,0,0,0,5192,19837,1340
