province thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,1496,256,0,0,0,0,0,0,0,0,0,2208
อ่างทอง,Ang Thong,14.61094444,100.3843056,7564,2366,2032,1079,0,0,0,0,0,0,76777,30928
กรุงเทพ,Bangkok,13.75785621,100.5558824,6699,10419,6339,18507,0,0,0,0,0,0,40788,29285
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,5070,870,205,0,0,0,0,0,0,0,1020,3932
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,14585,732,303,0,0,0,0,0,0,0,1503,10612
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,28210,6319,6811,11637,0,0,0,0,0,0,288941,70581
ชัยนาท,Chai Nat,15.15194231,100.0815577,43837,9024,4000,2709,0,0,0,0,0,0,80340,66405
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,49950,5969,1152,0,0,0,0,0,0,0,3404,27441
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,50777,38937,12732,3407,0,0,0,0,0,0,300,8811
เชียงราย,Chiang Rai,19.88303252,99.92217886,236953,163341,30010,8990,0,0,0,0,0,0,0,14017
ชลบุรี,Chon Buri,13.15463158,101.0628947,9034,2728,2061,1429,0,0,0,0,0,0,18098,11455
ชุมพร,Chumphon,10.3336087,99.18683478,233,487,215,0,0,0,0,0,0,0,0,55
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,171789,20637,3049,0,0,0,0,0,0,0,549,40487
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,106506,27776,11113,2931,0,0,0,0,0,0,178409,265907
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,5087,4120,2736,899,0,0,0,0,0,0,697,1289
ขอนแก่น,Khon Kaen,16.35285,102.598805,20963,3264,1537,0,0,0,0,0,0,0,1960,17771
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,8086,3875,393,46,0,0,0,0,0,0,0,2743
ลำพูน,Lamphun,18.36132,98.96236,6873,4905,1232,0,0,0,0,0,0,0,0,1232
เลย,Loei,17.41748315,101.6434157,143,0,0,0,0,0,0,0,0,0,0,168
ลพบุรี,Lop Buri,15.02860833,100.7969417,12495,2499,2812,402,0,0,0,0,0,0,19717,17378
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,38,16,0,0,0,0,0,0,0,0,0,13
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,7645,337,38,0,0,0,0,0,0,0,554,3921
มุกดาหาร,Mukdahan,16.53405769,104.5682885,170,15,0,0,0,0,0,0,0,0,0,193
นครนายก,Nakhon Nayok,14.18082927,101.1229756,34570,14456,4301,877,0,0,0,0,0,0,83525,38517
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,47981,21523,32792,11073,0,0,0,0,0,0,73426,63132
นครพนม,Nakhon Phanom,17.31057447,104.4821915,13565,4277,252,0,0,0,0,0,0,0,7008,31315
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,27675,24092,2386,161,0,0,0,0,0,0,2372,8362
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,83083,17086,22921,10961,0,0,0,0,0,0,241238,206339
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,0,0,9694,34887,41310,31229,0,0,0,0,0,0
น่าน,Nan,18.8794898,100.8094286,4284,55,0,0,0,0,0,0,0,0,0,461
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,111,489,333,0,0,0,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,6656,3841,1354,0,0,0,0,0,0,0,0,3925
หนองคาย,Nong Khai,17.91401639,102.8044262,19944,2408,757,0,0,0,0,0,0,0,5703,42759
นนทบุรี,Nonthaburi,13.88841176,100.4345882,11065,7228,7871,13375,0,0,0,0,0,0,30933,27496
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,50453,33029,30888,29078,0,0,0,0,0,0,65342,59676
ปัตตานี,Pattani,6.756087719,101.3607456,0,0,562,1860,10173,10065,0,0,0,0,0,0
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,0,0,0,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,0,0,1309,14614,28887,9695,0,0,0,0,0,0
พะเยา,Phayao,19.28419403,100.0843134,19502,30337,1984,37,0,0,0,0,0,0,0,2330
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,13811,1823,1226,988,0,0,0,0,0,0,13142,9837
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,1135,1615,1957,1342,0,0,0,0,0,0,374,386
พิจิตร,Phichit,16.25902273,100.3543182,99233,15364,8135,39039,0,0,0,0,0,0,213488,213017
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,112375,22120,9546,19517,0,0,0,0,0,0,141845,144791
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,45031,27045,38805,47226,0,0,0,0,0,0,116627,275260
แพร่,Phrae,18.15474026,100.0967013,5267,1363,0,0,0,0,0,0,0,0,5052,15735
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,19958,7791,1798,1439,0,0,0,0,0,0,80588,32196
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,1782,25430,2912,498,0,0,0,0,0,0,109,282
ระนอง,Ranong,9.84295,98.57283333,0,0,0,0,0,0,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,3211,2702,1596,713,0,0,0,0,0,0,2827,3789
ระยอง,Rayong,12.77290909,101.4139394,688,1583,524,125,0,0,0,0,0,0,153,304
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,80867,21502,1445,0,0,0,0,0,0,0,603,23608
สระแก้ว,Sa kaeo,13.72012069,102.3403103,10338,1943,22,0,0,0,0,0,0,0,212,1642
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,20155,4749,0,0,0,0,0,0,0,0,4274,29484
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,974,656,682,1011,0,0,0,0,0,0,12771,4113
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,925,622,357,504,0,0,0,0,0,0,1051,1078
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,242,188,21,0,0,0,0,0,0,0,0
สระบุรี,Saraburi,14.55531481,100.8865463,9081,2057,6644,1966,0,0,0,0,0,0,30640,14746
สตูล,Satun,6.695068182,99.72796591,0,290,242,78,0,0,0,0,0,0,0,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,44393,4674,584,0,0,0,0,0,0,0,582,27052
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,1507,673,448,2860,0,0,0,0,0,0,28756,20871
สงขลา,Songkhla,7.117804348,100.5218768,0,0,2268,16512,34213,39910,0,0,0,0,0,0
สุโขทัย,Sukhothai,17.1496,99.79715294,82666,8801,11079,5709,0,0,0,0,0,0,131788,234677
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,84536,36293,11236,12617,0,0,0,0,0,0,189926,264580
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,1334,352,0,0,0,0,0,0,0,0,407,1815
สุรินทร์,Surin,14.93708228,103.669962,8845,2844,263,0,0,0,0,0,0,0,3477,31583
ตาก,Tak,16.84066102,98.83098305,4084,1243,288,137,0,0,0,0,0,0,986,2556
ตรัง,Trang,7.479578947,99.55433333,92,152,51,0,0,0,0,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,1507,34,0,0,0,0,0,0,0,0,0,315
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,63966,36913,373,0,0,0,0,0,0,0,942,36889
อุดรธานี,Udon Thani,17.40975974,102.883539,16686,2938,514,0,0,0,0,0,0,0,6905,22230
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,18087,6478,3152,2199,0,0,0,0,0,0,46256,25106
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,72055,13009,5524,7706,0,0,0,0,0,0,14552,80784
ยะลา,Yala,6.389631579,101.2610877,0,0,0,50,112,28,0,0,0,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,22376,1893,1164,0,0,0,0,0,0,0,440,20513
