province Thai,province Eng,lat,long,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,6426,308932,17357,643154,0,6651,1876,0,0,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,10194,0,0,5559,0,7017,211965,2124,0,0,120840,3390
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,0,0,0,173,0,1310,61030,0,0,0,16958,1671
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,2397,371851,8563,79370,0,19169,3121,102,0,0,151,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,59467,103177,74512,2501976,0,16245,11036,2532,0,0,289,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,3330,2328,0,80954,20034,51865,433985,258,0,0,24310,15205
ชัยนาท,Chai Nat,15.15194231,100.0815577,1956,0,0,14501,608,860,629619,3644,0,0,181801,15739
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,99290,612594,9192,729302,0,99851,20116,0,0,0,2099,0
จันทบุรี,Chanthaburi,12.67759036,102.1161687,3183,0,0,9386,0,219,737,154,0,0,459,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,107595,62408,1264,27038,0,10949,251473,0,0,0,1611,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,67574,576658,144037,139054,1764,27901,233800,483,0,135,53120,4720
ชลบุรี,Chon Buri,13.15463158,101.0628947,1176,0,0,15924,1788,1843,34545,699,0,0,11027,351
ชุมพร,Chumphon,10.3336087,99.18683478,554,0,0,57,0,390,139,0,0,0,1935,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,7779,1016261,1274,424307,0,5364,14693,358,0,0,0,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,7041,5266,68,75990,3040,14017,1018705,6020,0,2750,13654,20367
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,12359,0,103,124368,0,6521,56844,6141,0,2149,75198,93572
ขอนแก่น,Khon Kaen,16.35285,102.598805,29049,1599031,6380,628012,0,9092,34333,8330,0,0,0,0
กระบี่,Krabi,8.009243243,98.93368468,1387,0,0,398,0,2639,0,0,0,0,102,0
ลำปาง,Lampang,18.34986458,99.50325,8309,217323,967,56272,0,11978,138855,0,0,0,1020,0
ลำพูน,Lamphun,18.36132,98.96236,3436,38616,292,4943,0,3229,55847,0,0,0,258,0
เลย,Loei,17.41748315,101.6434157,40561,299225,123,5396,0,58736,32451,0,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,7314,0,0,235668,0,3902,302313,11650,0,0,170521,18029
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,88479,2343,363,32494,0,3216,55580,0,0,0,0,0
