province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,168,2342,0,279,0,254,0,25,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,153919,0,1838,2976,0,0,91697,628
กรุงเทพ,Bangkok,13.75785621,100.5558824,0,64367,0,3584,3131,0,0,22220,530
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,5937,2166,0,2090,0,165,0,851,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,303,5369,0,3274,0,9350,0,1442,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,207491,8445,10792,36526,0,0,20360,9772
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,392717,0,4935,175,1062,0,121783,975
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,21507,14646,2465,15612,5448,2480,0,3053,8104
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,1428,3057,0,126698,0,0,0,457,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,18155,38663,932,217264,112726,0,1407,41185,23855
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,28021,1522,4980,1258,257,0,2960,365
ชุมพร,Chumphon,10.3336087,99.18683478,0,10,0,84,0,80,0,824,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,66864,126145,0,58101,22214,16206,0,335,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,0,481703,2297,33571,61917,913,0,4631,24010
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,32320,0,1485,0,271,0,74956,72123
ขอนแก่น,Khon Kaen,16.35285,102.598805,12355,3398,0,2115,6191,695,0,606,0
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,691,7330,0,29385,0,0,0,39,0
ลำพูน,Lamphun,18.36132,98.96236,92,828,0,13925,0,0,0,0,0
เลย,Loei,17.41748315,101.6434157,100,46,0,241,0,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,0,188167,82,2581,0,1195,0,107055,2133
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,0,58,0,62,0,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,2545,12728,0,724,4063,4259,0,0,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,129,78,0,158,0,17,0,41,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,0,115009,269,32098,7441,1045,0,4020,672
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,0,229018,0,4783,6006,0,53,12159,2599
นครพนม,Nakhon Phanom,17.31057447,104.4821915,34004,3650,0,26684,0,1708,0,425,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,0,54126,7808,5891,955,42872,0,3841,15961
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,0,718495,807,25693,9887,2328,0,11507,14250
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,0,12438,397,1272,638,212,0,407,0
น่าน,Nan,18.8794898,100.8094286,153,44,0,7035,0,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,0,0,0,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,1974,5352,0,2846,167,3852,0,685,0
หนองคาย,Nong Khai,17.91401639,102.8044262,54046,6511,0,22186,0,0,0,0,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,90349,0,2113,393,0,0,828,0
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,226800,0,4412,2518,0,0,33059,1937
ปัตตานี,Pattani,6.756087719,101.3607456,0,11546,0,0,0,7051,508,0,0
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,0,17477,0,6108,443,1492,0,6068,269
พะเยา,Phayao,19.28419403,100.0843134,1383,2486,0,28707,38299,0,0,2423,0
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,1220,8397,0,10445,1474,218,0,562,85
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,0,89671,521,6425,4344,23263,0,5721,23148
พิจิตร,Phichit,16.25902273,100.3543182,0,537954,421,91114,58295,7153,0,2831,10501
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,2978,514813,3188,108022,93230,8239,51,32955,17736
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,0,639978,0,14620,18646,2444,0,33315,8399
แพร่,Phrae,18.15474026,100.0967013,6414,8267,0,21905,0,0,0,0,0
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,0,103867,1121,10950,2916,551,0,1337,15360
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,0,2070,133,69,0,4750,0,3653,79
ระนอง,Ranong,9.84295,98.57283333,0,0,0,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,0,35554,2232,1497,0,8165,0,39336,87393
