number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_conv_filters,params_dropout,params_kernel_size,params_lr,params_lstm_units,user_attrs_r2_log1p,user_attrs_r2_raw,state
0,0.41529351472854614,2026-05-18 23:21:28.540449,2026-05-18 23:27:20.688328,0 days 00:05:52.147879,64,2.0,64,0.10617534828874074,3,0.0009330606024425672,64,0.401328980922699,0.0009953975677490234,COMPLETE
1,0.37012478709220886,2026-05-18 23:27:20.689943,2026-05-18 23:39:59.082933,0 days 00:12:38.392990,64,1.0,128,0.2777243706586128,7,0.00011128853174905746,64,0.4578205943107605,0.004202365875244141,COMPLETE
2,0.3628624379634857,2026-05-18 23:39:59.084226,2026-05-18 23:41:51.602940,0 days 00:01:52.518714,256,1.0,128,0.19351332282682332,7,0.000331182988807238,64,0.4826492667198181,0.009719252586364746,COMPLETE
3,0.36321890354156494,2026-05-18 23:41:51.604537,2026-05-18 23:46:09.890140,0 days 00:04:18.285603,128,0.5,64,0.18428035290621425,7,0.0003488960745139223,128,0.4543836712837219,0.008018672466278076,COMPLETE
4,0.4004466235637665,2026-05-18 23:46:09.891568,2026-05-18 23:48:48.332443,0 days 00:02:38.440875,256,1.0,64,0.19926940745579477,5,0.00011575995526672774,128,0.4409157633781433,0.007886171340942383,COMPLETE
5,0.355658620595932,2026-05-18 23:48:48.334491,2026-05-18 23:51:33.395844,0 days 00:02:45.061353,256,2.0,128,0.10942875570602029,5,0.0004329227527579915,32,0.47615599632263184,-0.0004191398620605469,COMPLETE
6,0.38209378719329834,2026-05-18 23:51:33.398204,2026-05-18 23:56:04.472991,0 days 00:04:31.074787,128,2.0,128,0.3677676995469934,5,0.00034621209972935936,64,0.4429113268852234,0.007008731365203857,COMPLETE
7,0.3629000782966614,2026-05-18 23:56:04.475188,2026-05-19 00:00:31.553781,0 days 00:04:27.078593,128,1.0,64,0.2556371865230098,3,0.0005046833287655855,128,0.44958996772766113,0.006509900093078613,COMPLETE
8,0.3647126853466034,2026-05-19 00:00:31.555505,2026-05-19 00:07:12.362205,0 days 00:06:40.806700,128,0.5,128,0.3956951362331803,3,0.00017460443532333516,32,0.47743791341781616,0.0040915608406066895,COMPLETE
9,0.3872104287147522,2026-05-19 00:07:12.363611,2026-05-19 00:11:18.698386,0 days 00:04:06.334775,256,1.0,32,0.2536279174897843,3,0.00016845960390009322,128,0.4600086212158203,0.009472310543060303,COMPLETE
10,0.4736538231372833,2026-05-19 00:11:18.700760,2026-05-19 00:11:59.838332,0 days 00:00:41.137572,256,2.0,32,0.10538856268444591,5,0.0007035752730010501,32,,,PRUNED
11,0.46513575315475464,2026-05-19 00:11:59.840025,2026-05-19 00:13:02.045379,0 days 00:01:02.205354,256,2.0,128,0.17401342806016973,7,0.0002554024564541729,256,,,PRUNED
12,0.39446213841438293,2026-05-19 00:13:02.046787,2026-05-19 00:14:59.424002,0 days 00:01:57.377215,256,1.0,128,0.14683275742494856,7,0.00051707470038164,32,0.5147779583930969,0.015293717384338379,COMPLETE
13,0.4377301335334778,2026-05-19 00:14:59.426208,2026-05-19 00:16:02.442563,0 days 00:01:03.016355,256,2.0,128,0.31034877861812804,5,0.000258740293218343,256,,,PRUNED
14,0.5067664384841919,2026-05-19 00:16:02.444292,2026-05-19 00:16:43.928223,0 days 00:00:41.483931,256,0.5,128,0.213687732142289,7,0.0004644679351617836,32,,,PRUNED
15,0.43723800778388977,2026-05-19 00:16:43.929888,2026-05-19 00:17:42.947777,0 days 00:00:59.017889,256,1.0,128,0.14164385126577628,5,0.00024904230513429445,64,,,PRUNED
16,0.46434488892555237,2026-05-19 00:17:42.949477,2026-05-19 00:21:22.052209,0 days 00:03:39.102732,64,2.0,32,0.13524426226444602,7,0.0006512282073289662,32,,,PRUNED
17,0.3769073784351349,2026-05-19 00:21:22.053809,2026-05-19 00:23:58.045010,0 days 00:02:35.991201,256,1.0,128,0.22030334045085687,5,0.0004006748840250228,64,0.496953547000885,0.011234402656555176,COMPLETE
18,0.43589407205581665,2026-05-19 00:23:58.046614,2026-05-19 00:25:00.604396,0 days 00:01:02.557782,256,2.0,128,0.3252991708037578,5,0.00020063517575879,256,,,PRUNED
19,0.3804188668727875,2026-05-19 00:25:00.606071,2026-05-19 00:31:49.815259,0 days 00:06:49.209188,64,0.5,32,0.16053786010487237,7,0.00063870109542176,64,0.45049363374710083,0.005959570407867432,COMPLETE
20,0.4280809164047241,2026-05-19 00:31:49.817299,2026-05-19 00:32:49.359996,0 days 00:00:59.542697,256,2.0,128,0.1239960118966703,7,0.0008572062852113526,32,,,PRUNED
21,0.3721832036972046,2026-05-19 00:32:49.361659,2026-05-19 00:37:18.705463,0 days 00:04:29.343804,128,1.0,64,0.2513050893122065,3,0.00048027169949317833,128,0.44354015588760376,0.007027328014373779,COMPLETE
22,0.37652865052223206,2026-05-19 00:37:18.707314,2026-05-19 00:43:59.450777,0 days 00:06:40.743463,128,1.0,64,0.2845790320510374,3,0.00039782893233320177,128,0.48648613691329956,0.0075092315673828125,COMPLETE
23,0.3644716143608093,2026-05-19 00:43:59.452606,2026-05-19 00:49:03.697570,0 days 00:05:04.244964,128,1.0,64,0.2212506262708488,3,0.0005540863810966433,128,0.49811404943466187,0.013605594635009766,COMPLETE
