number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_conv_filters,params_dropout,params_kernel_size,params_lr,params_lstm_units,user_attrs_r2_log1p,user_attrs_r2_raw,user_attrs_val_loss,state
0,-0.4766343832015991,2026-05-19 01:32:03.234015,2026-05-19 01:38:41.990530,0 days 00:06:38.756515,64,2.0,64,0.10617534828874074,3,0.0009330606024425672,64,0.4766343832015991,0.007556438446044922,0.41108906269073486,COMPLETE
1,-0.4344072937965393,2026-05-19 01:38:41.992047,2026-05-19 01:49:51.615416,0 days 00:11:09.623369,64,1.0,128,0.2777243706586128,7,0.00011128853174905746,64,0.4344072937965393,0.009624838829040527,0.3982528746128082,COMPLETE
2,-0.48897337913513184,2026-05-19 01:49:51.616784,2026-05-19 01:52:41.596289,0 days 00:02:49.979505,256,1.0,128,0.19351332282682332,7,0.000331182988807238,64,0.48897337913513184,0.011388659477233887,0.3713308870792389,COMPLETE
3,-0.4427069425582886,2026-05-19 01:52:41.597448,2026-05-19 01:57:19.778822,0 days 00:04:38.181374,128,0.5,64,0.18428035290621425,7,0.0003488960745139223,128,0.4427069425582886,0.005648791790008545,0.37721365690231323,COMPLETE
4,-0.4011121988296509,2026-05-19 01:57:19.780907,2026-05-19 01:59:43.658339,0 days 00:02:23.877432,256,1.0,64,0.19926940745579477,5,0.00011575995526672774,128,0.4011121988296509,0.006119668483734131,0.40295174717903137,COMPLETE
5,-0.48308122158050537,2026-05-19 01:59:43.660610,2026-05-19 02:02:33.757891,0 days 00:02:50.097281,256,2.0,128,0.10942875570602029,5,0.0004329227527579915,32,0.48308122158050537,0.009557127952575684,0.36399364471435547,COMPLETE
6,-0.43351292610168457,2026-05-19 02:02:33.759243,2026-05-19 02:07:09.381722,0 days 00:04:35.622479,128,2.0,128,0.3677676995469934,5,0.00034621209972935936,64,0.43351292610168457,0.004231631755828857,0.3724009692668915,COMPLETE
7,-0.4046400189399719,2026-05-19 02:07:09.383827,2026-05-19 02:10:57.008495,0 days 00:03:47.624668,128,1.0,64,0.2556371865230098,3,0.0005046833287655855,128,0.4046400189399719,0.006663262844085693,0.36753934621810913,COMPLETE
8,-0.48843085765838623,2026-05-19 02:10:57.010389,2026-05-19 02:17:20.265611,0 days 00:06:23.255222,128,0.5,128,0.3956951362331803,3,0.00017460443532333516,32,0.48843085765838623,0.005521237850189209,0.36786922812461853,COMPLETE
9,-0.4473944902420044,2026-05-19 02:17:20.267606,2026-05-19 02:22:00.266305,0 days 00:04:39.998699,256,1.0,32,0.2536279174897843,3,0.00016845960390009322,128,0.4473944902420044,0.006943702697753906,0.3728261888027191,COMPLETE
10,-0.46543896198272705,2026-05-19 02:22:00.268509,2026-05-19 02:23:55.391822,0 days 00:01:55.123313,256,1.0,32,0.3203809758654538,7,0.0007685220516485988,256,0.46543896198272705,-0.008842229843139648,0.3902047872543335,COMPLETE
11,0.4280534088611603,2026-05-19 02:23:55.393426,2026-05-19 02:25:51.107805,0 days 00:01:55.714379,128,0.5,128,0.39771978920503814,3,0.00021310814609422975,32,,,,PRUNED
12,0.4760357141494751,2026-05-19 02:25:51.109587,2026-05-19 02:26:32.581577,0 days 00:00:41.471990,256,0.5,128,0.18892020005410137,7,0.00022329710515436946,32,,,,PRUNED
13,0.4398479163646698,2026-05-19 02:26:32.582511,2026-05-19 02:28:30.006274,0 days 00:01:57.423763,128,0.5,128,0.32212976290168593,7,0.0002369074417986228,256,,,,PRUNED
14,0.46587875485420227,2026-05-19 02:28:30.007943,2026-05-19 02:31:02.669451,0 days 00:02:32.661508,64,0.5,128,0.15712567538464595,3,0.00015033956268678102,32,,,,PRUNED
