model,run_dir,npz,set,window,horizon,n_features,mae_log1p,rmse_log1p,r2_log1p,smape_log1p,mae_raw,rmse_raw,r2_raw,smape_raw
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h1_context/cnn_lstm_core,sequences_window30_h1.npz,context,30,1,18,0.6317950487136841,1.1759981481284527,0.500373125076294,1.6274908781051636,23.986196517944336,216.09867357008466,0.0114365816116333,1.7444055080413818
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h7/cnn_lstm_context,sequences_window30_h7.npz,context,30,7,18,0.6343787908554077,1.1981146883732234,0.4840768575668335,1.6305721998214722,24.89276123046875,219.55972457682216,0.0036551952362060547,1.7476999759674072
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h7/cnn_lstm_trimmed,sequences_window30_h7.npz,trimmed,30,7,10,0.6525356769561768,1.213782334373349,0.47049522399902344,1.6190024614334106,25.187360763549805,219.2202712883779,0.00673365592956543,1.7356089353561401
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h7/cnn_lstm_context_quality,sequences_window30_h7.npz,context,30,7,18,0.6572849154472351,1.2349042602835028,0.45190632343292236,1.627682089805603,26.67717170715332,219.94743690254725,0.00013321638107299805,1.7455408573150635
CNN-LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w60_h7_context/cnn_lstm_core,sequences_window60_h7.npz,context,60,7,18,0.6667072772979736,1.2426512710162645,0.4631239175796509,1.615314245223999,25.79446029663086,233.62031830515085,0.009183228015899658,1.7286351919174194
Transformer,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h1_context/transformer_core,sequences_window30_h1.npz,context,30,1,18,0.7419631481170654,1.2797348088240128,0.40833956003189087,1.6201139688491821,25.67193603515625,217.03716919573938,0.0028314590454101562,1.739092469215393
LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w60_h7_context/lstm_core,sequences_window60_h7.npz,context,60,7,18,0.7689641714096069,1.3739921604221583,0.3436371088027954,1.6325087547302246,27.508310317993164,233.48554559115647,0.010326147079467773,1.7544583082199097
LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w60_h7_full/lstm_core,sequences_window60_h7.npz,full,60,7,36,0.8020306825637817,1.384439061320905,0.33361804485321045,1.6387521028518677,32.03777313232422,234.69609671338804,3.719329833984375e-05,1.7771581411361694
LSTM,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w30_h1_context/lstm_core,sequences_window30_h1.npz,context,30,1,18,0.8707907795906067,1.4232343107853347,0.26821190118789673,1.7117915153503418,26.584409713745117,217.35138600892336,-5.793571472167969e-05,1.842132806777954
Transformer,/home/ai-station/Projects_code/SUT_Rice_Project_2024/BPH_Research/results/out_train_w60_h7_full/transformer_core,sequences_window60_h7.npz,full,60,7,36,0.8227013945579529,1.4403642232210845,0.27869296073913574,1.6478815078735352,28.39829444885254,234.9054580437628,-0.0017476081848144531,1.7685779333114624
