namethai,nameEng,Latitude,Longitude
ศวข.ฉะเชิงเทรา,Chachoengsao Rice research Center,13.873,100.951
ศวข.ชัยนาท,Chai Nat Rice research Center,15.198,100.137
ศมข.ชัยนาทจุดที่1,Chai Nat Rice Seed Center 1,15.348,99.597
ศมข.ชัยนาทจุดที่2,Chai Nat Rice Seed Center 2,14.897,100.345
ศวข.เชียงใหม่,Chiang Mai Rice research Center,18.614,98.897
ศวข.เชียงราย,Chiangrai Rice research Center,19.529,99.745
ศวข.ชุมแพ,Chum Phae Rice research Center,16.534,102.12
ศวข.คลองหลวง,Khlong Luang Rice research Center,14.117,100.62
ศวข.ขอนแก่น,Khon Kaen Rice research Center,16.432,102.819
ศวข.กระบี่,Krabi Rice research Center,8.056,99.017
ศวข.ลพบุรี,Lopburi Rice research Center,15.068,100.686
ศมข.ลพบุรี,Lopburi Rice Seed Center,14.8,100.802
ศวข.แม่ฮ่องสอน,Mae Hong Son Rice research Center,19.541,98.211
ศวข.นครราชสีมา,Nakhon Ratchasima Rice research Center,15.238,102.481
ศวข.นครสววรค์,Nakhon Sawan Rice Seed Center,15.628,100.119
ศวข.นครศรีธรรมราช,Nakhon Si Thammarat Rice research Center,8.362,100.056
ศวข.หนองคาย,Nong Khai Rice research Center,18.163,103.169
ศวข.ปทุมธานี,Pathum Thani Rice research Center,14.017,100.728
ศวข.ปัตตานี,Pattani Rice research Center,6.752,101.13
ศวข.พัทลุง,Phatthalung Rice research Center,7.567,100.131
ศมข.พิษณุโลก,Phitsanulok Rice Seed Center,16.837,100.375
ศวข.อยุธยา,Phra Nakhon Si Ayutthaya Rice research Center,14.364,100.605
ศมข.แพร่,Phrae Rice research Center,18.242,100.217
ศวข.ปราจีนบุรี,Prachinburi Rice research Center,14.011,101.216
ศวข.ราชบุรี,Ratchaburi Rice research Center,13.49,99.794
ศมข.ราชบุรีจุดที่1,Ratchaburi Rice Seed Center 1,14.152,100.084
ศมข.ราชบุรีจุดที่2,Ratchaburi Rice Seed Center 2,13.682,99.77
ศมข.ร้อยเอ็ด,Roi Et Rice Seed Center,16.083,103.867
ศวข.สกลนคร,Sakon Nakhon Rice research Center,17.181,104.119
ศวข.สะเมิง,Samoeng Rice research Center,18.849,98.768
ศมข.สุโขทัย,Sukhothai Rice Seed Center,17.311,99.709
ศวข.สุรินทร์,Surin Rice research Center,14.908,103.506
ศวข.อุบลราชธานี,Ubon Ratchathani Rice research Center,15.334,104.683
ศวข.อุดรธานี,Udon Thani Rice research Center,17.374,102.584
