date,address,latitude,longitude,day,month,year,mirid bug,mint,maxt,temp,dew,humidity,wspd,wdir,precip,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,bph
2015-01-01,Nakhon Si Thammarat Rice research Center,8.362,100.056,1,1,2015,0,25.0,30.0,28.0,23.1,75.39,16.6,92.0,2.5,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-02,Nakhon Si Thammarat Rice research Center,8.362,100.056,2,1,2015,0,23.0,29.0,26.6,23.7,84.5,25.9,166.67,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-03,Nakhon Si Thammarat Rice research Center,8.362,100.056,3,1,2015,0,24.0,26.0,25.0,22.5,86.08,11.2,310.0,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-04,Nakhon Si Thammarat Rice research Center,8.362,100.056,4,1,2015,0,23.0,28.1,27.0,23.7,82.77,18.3,303.75,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-05,Nakhon Si Thammarat Rice research Center,8.362,100.056,5,1,2015,0,25.0,29.0,27.1,24.9,88.2,3.6,0.0,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-06,Nakhon Si Thammarat Rice research Center,8.362,100.056,6,1,2015,0,27.0,31.0,29.5,25.3,78.12,13.0,115.0,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-07,Nakhon Si Thammarat Rice research Center,8.362,100.056,7,1,2015,0,25.0,30.0,27.6,24.7,84.92,11.2,163.67,0.1,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-08,Nakhon Si Thammarat Rice research Center,8.362,100.056,8,1,2015,0,24.0,24.0,24.0,24.0,100.0,5.4,310.0,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-09,Nakhon Si Thammarat Rice research Center,8.362,100.056,9,1,2015,0,26.0,31.0,29.1,23.8,73.78,24.1,136.25,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-10,Nakhon Si Thammarat Rice research Center,8.362,100.056,10,1,2015,0,25.0,28.0,26.0,24.3,90.38,7.6,120.0,0.5,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-11,Nakhon Si Thammarat Rice research Center,8.362,100.056,11,1,2015,0,26.0,30.5,28.6,23.9,75.83,18.4,131.0,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-12,Nakhon Si Thammarat Rice research Center,8.362,100.056,12,1,2015,1,25.0,29.9,27.9,24.5,81.99,14.8,140.0,6.6,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-13,Nakhon Si Thammarat Rice research Center,8.362,100.056,13,1,2015,1,23.0,24.0,23.5,23.0,97.07,7.6,175.0,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-14,Nakhon Si Thammarat Rice research Center,8.362,100.056,14,1,2015,0,24.0,30.1,28.1,24.0,79.37,18.4,121.43,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,2
2015-01-15,Nakhon Si Thammarat Rice research Center,8.362,100.056,15,1,2015,2,24.0,29.0,26.7,24.0,86.04,13.0,250.0,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
2015-01-16,Nakhon Si Thammarat Rice research Center,8.362,100.056,16,1,2015,1,24.0,30.0,28.0,23.3,76.36,16.6,86.67,0.0,8948,0,0,1126,634,8917,17416,0,0,0,23378,0,0,0,0,0,0,0,0,0,0
