date,address,latitude,longitude,day,month,year,mirid bug,mint,maxt,temp,dew,humidity,wspd,wdir,precip,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,bph
2015-01-01,Phatthalung Rice research Center,7.567,100.131,1,1,2015,0,25.9,30.0,28.6,23.1,72.43,23.1,81.7,1.75,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-02,Phatthalung Rice research Center,7.567,100.131,2,1,2015,2,24.9,29.0,27.1,23.2,79.81,17.8,103.5,0.2,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-03,Phatthalung Rice research Center,7.567,100.131,3,1,2015,0,24.5,26.6,25.6,22.9,85.46,9.5,16.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-04,Phatthalung Rice research Center,7.567,100.131,4,1,2015,0,23.9,29.0,27.0,23.6,82.14,13.6,117.13,2.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-05,Phatthalung Rice research Center,7.567,100.131,5,1,2015,0,24.3,28.8,26.8,24.4,87.04,9.5,213.75,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-06,Phatthalung Rice research Center,7.567,100.131,6,1,2015,0,25.6,30.6,29.1,24.6,76.97,16.7,56.2,4.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-07,Phatthalung Rice research Center,7.567,100.131,7,1,2015,0,24.9,30.4,28.2,24.5,80.98,8.4,142.5,0.6,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-08,Phatthalung Rice research Center,7.567,100.131,8,1,2015,0,26.6,27.2,26.9,23.9,83.58,11.7,38.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-09,Phatthalung Rice research Center,7.567,100.131,9,1,2015,0,26.3,30.8,29.4,23.1,69.49,22.6,78.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-10,Phatthalung Rice research Center,7.567,100.131,10,1,2015,0,26.0,30.0,28.0,23.3,76.07,14.5,123.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-11,Phatthalung Rice research Center,7.567,100.131,11,1,2015,0,25.5,31.1,29.1,23.9,74.0,19.3,87.0,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-12,Phatthalung Rice research Center,7.567,100.131,12,1,2015,0,26.2,30.7,28.6,23.4,73.99,15.5,89.0,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-13,Phatthalung Rice research Center,7.567,100.131,13,1,2015,0,27.0,27.6,27.3,22.8,76.61,19.4,63.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-14,Phatthalung Rice research Center,7.567,100.131,14,1,2015,0,26.6,30.8,29.1,23.8,73.23,18.4,104.38,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-15,Phatthalung Rice research Center,7.567,100.131,15,1,2015,0,26.0,29.3,28.2,23.5,75.81,20.2,96.0,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-16,Phatthalung Rice research Center,7.567,100.131,16,1,2015,0,25.1,30.8,29.0,22.8,69.37,22.3,74.1,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-17,Phatthalung Rice research Center,7.567,100.131,17,1,2015,0,23.8,29.6,27.7,22.6,73.97,19.4,84.67,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-18,Phatthalung Rice research Center,7.567,100.131,18,1,2015,0,24.3,27.0,25.7,21.6,78.5,10.4,234.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-19,Phatthalung Rice research Center,7.567,100.131,19,1,2015,0,25.6,30.0,28.2,22.4,71.35,21.4,79.0,0.7,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-20,Phatthalung Rice research Center,7.567,100.131,20,1,2015,0,24.7,29.7,27.4,22.4,74.47,19.0,143.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-21,Phatthalung Rice research Center,7.567,100.131,21,1,2015,0,24.8,30.6,29.2,22.9,69.3,21.3,70.4,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-22,Phatthalung Rice research Center,7.567,100.131,22,1,2015,0,23.5,29.5,27.7,22.3,73.03,19.9,123.67,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-23,Phatthalung Rice research Center,7.567,100.131,23,1,2015,0,23.5,27.2,25.4,21.8,80.88,4.0,145.0,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-24,Phatthalung Rice research Center,7.567,100.131,24,1,2015,0,23.9,30.9,28.6,22.6,70.7,20.0,86.0,0.1,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-25,Phatthalung Rice research Center,7.567,100.131,25,1,2015,0,23.9,29.4,27.3,21.9,72.85,12.3,118.75,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-26,Phatthalung Rice research Center,7.567,100.131,26,1,2015,0,25.9,30.7,29.2,23.0,69.46,18.9,52.7,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-27,Phatthalung Rice research Center,7.567,100.131,27,1,2015,0,24.0,29.6,27.8,21.8,70.58,15.5,73.83,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-28,Phatthalung Rice research Center,7.567,100.131,28,1,2015,0,25.0,27.2,26.1,21.9,77.73,6.0,77.5,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-29,Phatthalung Rice research Center,7.567,100.131,29,1,2015,0,25.1,31.9,29.5,23.1,68.89,21.0,80.75,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-30,Phatthalung Rice research Center,7.567,100.131,30,1,2015,0,25.9,30.8,28.3,23.5,75.44,16.1,137.25,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-01-31,Phatthalung Rice research Center,7.567,100.131,31,1,2015,0,26.2,31.5,29.6,23.1,68.26,21.8,83.7,0.0,11465,0,0,0,0,7187,3113,749,0,0,1379,0,0,0,0,0,0,0,0,0,0
2015-02-01,Phatthalung Rice research Center,7.567,100.131,1,2,2015,0,25.5,30.5,29.0,22.0,66.67,27.5,88.9,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-02,Phatthalung Rice research Center,7.567,100.131,2,2,2015,2,24.8,30.8,28.6,22.6,70.64,28.7,110.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-03,Phatthalung Rice research Center,7.567,100.131,3,2,2015,0,25.5,27.2,26.4,22.4,78.82,14.0,45.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-04,Phatthalung Rice research Center,7.567,100.131,4,2,2015,0,26.3,31.5,29.2,22.5,67.69,24.1,81.63,2.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-05,Phatthalung Rice research Center,7.567,100.131,5,2,2015,0,24.0,29.0,26.4,23.1,82.47,19.5,133.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-06,Phatthalung Rice research Center,7.567,100.131,6,2,2015,0,26.6,30.8,29.3,22.2,65.83,28.3,88.3,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-07,Phatthalung Rice research Center,7.567,100.131,7,2,2015,0,23.7,30.4,28.1,22.4,71.68,22.6,84.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-08,Phatthalung Rice research Center,7.567,100.131,8,2,2015,0,26.6,28.0,27.3,21.8,71.84,17.7,77.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-09,Phatthalung Rice research Center,7.567,100.131,9,2,2015,0,26.0,31.3,29.5,22.0,64.55,30.1,82.0,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-10,Phatthalung Rice research Center,7.567,100.131,10,2,2015,0,23.4,29.1,26.6,20.8,71.72,18.4,69.75,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-11,Phatthalung Rice research Center,7.567,100.131,11,2,2015,0,23.5,30.9,28.7,21.9,67.31,22.3,86.6,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-12,Phatthalung Rice research Center,7.567,100.131,12,2,2015,0,24.5,30.3,27.9,22.4,72.48,19.5,82.67,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-13,Phatthalung Rice research Center,7.567,100.131,13,2,2015,0,24.2,26.6,25.4,22.0,81.82,9.8,162.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-14,Phatthalung Rice research Center,7.567,100.131,14,2,2015,0,23.9,31.5,28.8,21.6,66.11,21.4,55.63,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-15,Phatthalung Rice research Center,7.567,100.131,15,2,2015,0,24.2,29.4,27.3,22.2,74.44,16.5,69.5,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
2015-02-16,Phatthalung Rice research Center,7.567,100.131,16,2,2015,0,25.1,31.5,29.3,22.9,68.89,18.6,60.3,0.0,651,0,0,0,0,408,177,43,0,0,78,0,0,0,0,0,0,0,0,0,0
