province Thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,0,0,0,0,386862,366796,192727,24702,0,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,0,0,0,132588,67978,28115,32634,68351,22376,0,0
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,0,0,0,0,24534,30719,12757,6229,7618,3406,0,0
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,0,0,0,0,171526,243431,64665,906,0,0,0,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,0,0,0,0,1219204,1080221,356106,85573,1144,0,0,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,0,0,0,199086,138922,64604,59006,83041,80756,0,0
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,0,0,0,263485,180648,112825,117812,119843,31312,0,0
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,0,0,0,0,239232,641438,579480,80862,628,0,0,0
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,4991,4123,3555,1376,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,0,0,0,0,18432,34331,272163,107244,6303,0,0,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,0,0,0,0,132275,333312,615522,111755,15822,0,0,0
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,0,0,0,26746,15790,13050,9732,2770,1922,0,0
ชุมพร,Chumphon,10.3336087,99.18683478,0,0,0,0,0,0,143,1548,845,404,0,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,0,0,0,0,372461,771298,232755,65941,0,0,0,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,0,0,0,0,335798,332238,210880,120307,132920,56477,0,0
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,0,0,0,1033,3176,86566,276312,8609,345,0,0
ขอนแก่น,Khon Kaen,16.35285,102.598805,0,0,0,0,411030,1294428,546678,86023,0,0,0,0
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,58,482,3128,1203,602,0,0
ลำปาง,Lampang,18.34986458,99.50325,0,0,0,0,4459,34564,271997,117163,2956,0,0,0
ลำพูน,Lamphun,18.36132,98.96236,0,0,0,0,789,19000,77303,20458,0,0,0,0
เลย,Loei,17.41748315,101.6434157,0,0,0,0,12539,80494,292011,28806,0,0,0,0
