province thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,342,123,0,0,0,0,0,0,0,0,0,259
อ่างทอง,Ang Thong,14.61094444,100.3843056,37444,13722,10503,6790,0,0,0,0,0,0,54823,87889
กรุงเทพ,Bangkok,13.75785621,100.5558824,18613,8549,5156,2579,0,0,0,0,0,0,34678,32125
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,2766,561,0,0,0,0,0,0,0,0,561,5406
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,4944,110,0,0,0,0,0,0,0,0,318,2743
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,14226,8408,4815,2481,0,0,0,0,0,0,343850,41870
ชัยนาท,Chai Nat,15.15194231,100.0815577,68839,24148,15872,41529,0,0,0,0,0,0,159031,176990
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,28767,5835,376,0,0,0,0,0,0,0,1533,18869
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,73846,34058,5949,1872,0,0,0,0,0,0,337,14063
เชียงราย,Chiang Rai,19.88303252,99.92217886,228568,97111,22637,3409,0,0,0,0,0,0,762,43041
ชลบุรี,Chon Buri,13.15463158,101.0628947,6556,2178,873,693,0,0,0,0,0,0,22370,7968
ชุมพร,Chumphon,10.3336087,99.18683478,96,596,59,0,0,0,0,0,0,0,0,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,201488,24842,1248,0,0,0,0,0,0,0,801,40604
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,146551,36229,6531,0,0,0,0,0,0,0,133162,276966
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,3468,13852,18119,1042,0,0,0,0,0,0,0,881
ขอนแก่น,Khon Kaen,16.35285,102.598805,81179,30944,4072,0,0,0,0,0,0,0,1080,22637
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,23533,11864,1226,0,0,0,0,0,0,0,144,7785
ลำพูน,Lamphun,18.36132,98.96236,8726,4159,1264,0,0,0,0,0,0,0,0,3061
เลย,Loei,17.41748315,101.6434157,23,0,0,0,0,0,0,0,0,0,0,127
ลพบุรี,Lop Buri,15.02860833,100.7969417,104334,22082,11522,2698,0,0,0,0,0,0,28989,50261
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,285,74,0,0,0,0,0,0,0,0,0,117
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,121009,17343,4482,0,0,0,0,0,0,0,0,7251
มุกดาหาร,Mukdahan,16.53405769,104.5682885,112,0,0,0,0,0,0,0,0,0,0,130
นครนายก,Nakhon Nayok,14.18082927,101.1229756,24766,6527,2322,1810,0,0,0,0,0,0,68829,48115
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,41674,23943,13361,8166,0,0,0,0,0,0,58501,100056
นครพนม,Nakhon Phanom,17.31057447,104.4821915,19291,3028,413,0,0,0,0,0,0,0,8135,36029
