province Thai,province Eng,lat,long,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,12284,337256,22374,594462,0,2647,2064,0,0,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,12395,0,0,13025,0,0,225454,0,0,0,100133,1035
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,0,0,0,0,0,0,77844,0,0,0,7419,0
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,5115,376180,3856,78602,0,16775,0,0,0,0,0,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,68280,125027,102847,2431109,0,13976,0,1009,0,0,0,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,10754,3308,0,70705,21023,108938,371061,0,0,0,29247,10379
ชัยนาท,Chai Nat,15.15194231,100.0815577,7203,0,0,11386,0,0,688314,6342,0,0,102356,10324
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,103246,573680,10345,756320,0,78050,19999,0,0,0,0,0
จันทบุรี,Chanthaburi,12.67759036,102.1161687,2964,0,0,9389,0,0,914,135,0,0,643,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,90252,103274,366,20147,222,10569,211397,0,0,0,2246,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,39704,747225,125168,108294,12830,21481,134748,0,0,0,11247,7989
ชลบุรี,Chon Buri,13.15463158,101.0628947,1056,0,0,15373,1047,3796,34724,209,1029,0,12480,296
ชุมพร,Chumphon,10.3336087,99.18683478,256,0,0,86,0,157,204,0,0,0,2237,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,6379,1046585,2632,367133,0,2838,16888,0,0,0,0,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,7586,6327,568,89654,10085,28584,1021766,5320,0,0,8474,10256
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,19391,0,0,104796,0,2726,79109,0,0,1844,72099,96076
ขอนแก่น,Khon Kaen,16.35285,102.598805,23085,1712633,8463,581795,0,6320,5863,0,0,0,0,0
กระบี่,Krabi,8.009243243,98.93368468,1091,0,0,667,0,3715,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,4856,225474,2933,37642,0,17363,142871,0,0,0,0,0
ลำพูน,Lamphun,18.36132,98.96236,7855,56352,0,8527,0,14969,29847,0,0,0,0,0
เลย,Loei,17.41748315,101.6434157,30212,309132,0,9857,0,40688,23961,0,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,15234,3870,0,190526,0,0,350251,24009,0,0,140280,12356
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,57993,4253,0,36482,0,1780,67631,0,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,9875,996751,36182,975278,0,11350,28316,0,0,0,0,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,12576,362632,5023,99393,0,3246,9257,0,0,0,0,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,28738,0,0,19001,0,92198,200973,1626,0,0,6240,17523
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,0,0,0,0,953,0,286822,0,0,0,16286,5532
นครพนม,Nakhon Phanom,17.31057447,104.4821915,56896,575451,84511,477244,0,74740,73319,0,0,0,0,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,75868,209205,60357,2887181,2246,92575,53337,75559,0,0,17470,5368
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,30244,4768,0,708689,24216,10147,1305220,55150,0,8546,30246,80637
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,37456,0,0,2266,0,15637,86226,2074,0,0,55927,0
น่าน,Nan,18.8794898,100.8094286,25941,71482,0,5487,0,47941,117348,0,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,40141,0,0,0,0,2864,6352,0,0,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,11479,490622,11229,117412,0,3340,13603,0,0,0,0,0
หนองคาย,Nong Khai,17.91401639,102.8044262,9246,356783,21337,76331,0,37400,21127,0,0,0,0,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,0,0,0,0,0,88206,0,0,0,0,0
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,0,0,0,0,0,284462,0,0,0,26722,0
ปัตตานี,Pattani,6.756087719,101.3607456,54476,0,0,0,0,5897,8563,0,0,0,0,0
พังงา,Phang-nga,8.655536232,98.27214493,513,0,0,745,0,490,414,0,0,0,486,0
พัทลุง,Phatthalung,7.54880303,100.0667121,80642,0,0,0,0,0,29600,6148,0,0,15369,0
พะเยา,Phayao,19.28419403,100.0843134,15502,196272,59114,287155,0,18567,47570,0,0,0,0,0
