province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,119,769,0,475,0,1974,0,187,436
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,82362,81,2840,4117,208,0,28267,2871
กรุงเทพ,Bangkok,13.75785621,100.5558824,0,77175,635,9032,6453,119,0,15098,3525
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,3583,2501,0,3848,0,372,0,793,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,426,3138,0,2978,150,17927,0,3116,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,209517,29166,60658,69707,1993,261,23306,17891
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,130776,1027,2713,2589,4725,0,57067,7418
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,7851,5438,14063,7211,9746,22657,0,10527,10423
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,4285,7696,883,97942,1979,0,0,1520,659
เชียงราย,Chiang Rai,19.88303252,99.92217886,14620,35649,2790,106554,138371,2003,2909,15635,134780
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,18340,5468,9580,4557,5169,0,1691,0
ชุมพร,Chumphon,10.3336087,99.18683478,0,12,37,427,0,93,0,421,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,56024,6996,0,32488,44579,95255,0,799,370
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,78,325731,5623,63028,95741,25341,661,15998,60441
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,2149,413,661,80,1023,22,1939,8541
ขอนแก่น,Khon Kaen,16.35285,102.598805,15605,1166,248,3151,8839,13965,0,1798,723
