date,station_name,station_id,latitude,longitude,day,month,year,mirid_bug,mint_temperature ,maxt_temperature ,temperature ,dew_point,humidity ,wind_speed,wind_direction,rainfall,BPH_count
1/1/2015,Chachoengsao Rice research Center,,13.873,100.951,1,1,2015,0,21,28.2,25.7,14,49.11,18.5,65.5,0,1
2/1/2015,Chachoengsao Rice research Center,,13.873,100.951,2,1,2015,0,20.5,26.9,23.7,12.4,49.78,16.7,126.83,0,0
3/1/2015,Chachoengsao Rice research Center,,13.873,100.951,3,1,2015,0,21,22.5,21.7,14.5,63.5,9.4,25,0,1
4/1/2015,Chachoengsao Rice research Center,,13.873,100.951,4,1,2015,0,21.5,31,27.7,16.2,50.44,10.3,164.63,0,1
5/1/2015,Chachoengsao Rice research Center,,13.873,100.951,5,1,2015,0,23,29.5,26.5,19.5,66.84,7.4,35.75,0,0
6/1/2015,Chachoengsao Rice research Center,,13.873,100.951,6,1,2015,0,24,33.2,30.5,20.2,55.78,13.9,153.8,0,1
7/1/2015,Chachoengsao Rice research Center,,13.873,100.951,7,1,2015,0,26.5,32.8,29.9,22.3,64.83,10.3,134.17,0,34
8/1/2015,Chachoengsao Rice research Center,,13.873,100.951,8,1,2015,0,25.5,26,25.7,22.7,83.59,11.2,62.5,0,0
9/1/2015,Chachoengsao Rice research Center,,13.873,100.951,9,1,2015,0,25,31,28.5,19.1,57.3,24.1,88.38,0,0
10/1/2015,Chachoengsao Rice research Center,,13.873,100.951,10,1,2015,0,26,29,27.6,20.8,66.87,16.6,74,0,1
11/1/2015,Chachoengsao Rice research Center,,13.873,100.951,11,1,2015,0,22.5,27,25.6,17.1,59.98,24.1,275.9,0,0
12/1/2015,Chachoengsao Rice research Center,,13.873,100.951,12,1,2015,0,21.5,25.5,23.7,15.9,61.97,15.9,194.5,0,0
13/1/2015,Chachoengsao Rice research Center,,13.873,100.951,13,1,2015,1,22.5,23,22.7,14.2,58.76,12.9,60,0,0
14/1/2015,Chachoengsao Rice research Center,,13.873,100.951,14,1,2015,0,21,28,25.3,11.1,41.53,13.9,78.75,0,1
15/1/2015,Chachoengsao Rice research Center,,13.873,100.951,15,1,2015,48,20,25.5,22.9,11.6,49.37,10.3,40.5,0,0
16/1/2015,Chachoengsao Rice research Center,,13.873,100.951,16,1,2015,0,21,30.5,27.3,11,37.48,17.5,58.2,0,0
17/1/2015,Chachoengsao Rice research Center,,13.873,100.951,17,1,2015,0,20,27.1,23.6,12.4,49.89,16.7,66.33,0,0
18/1/2015,Chachoengsao Rice research Center,,13.873,100.951,18,1,2015,0,21.5,23.5,22.5,14.5,60.72,10.1,75,0,1
19/1/2015,Chachoengsao Rice research Center,,13.873,100.951,19,1,2015,0,21.5,29,25.8,14.5,50.35,16.7,65.38,0,0
20/1/2015,Chachoengsao Rice research Center,,13.873,100.951,20,1,2015,0,22,27,24.6,15.4,57.22,13.9,105,0,0
21/1/2015,Chachoengsao Rice research Center,,13.873,100.951,21,1,2015,0,22,32,28.8,14.6,44.3,10.3,58.4,0,0
22/1/2015,Chachoengsao Rice research Center,,13.873,100.951,22,1,2015,0,23,31.5,28,15,47.02,10.8,55.83,0,0
23/1/2015,Chachoengsao Rice research Center,,13.873,100.951,23,1,2015,0,22.5,24.5,23.5,18.2,72.64,8.5,90,0,0
24/1/2015,Chachoengsao Rice research Center,,13.873,100.951,24,1,2015,0,22.5,32,28.4,19.8,62.5,11.1,160.5,0,1
25/1/2015,Chachoengsao Rice research Center,,13.873,100.951,25,1,2015,0,23.5,28.5,25.9,21.5,77.21,6.5,81,0,0
26/1/2015,Chachoengsao Rice research Center,,13.873,100.951,26,1,2015,10,23.5,31.4,28.9,21.8,66.98,12.9,193.6,0,0
27/1/2015,Chachoengsao Rice research Center,,13.873,100.951,27,1,2015,10,24,31.9,28.2,21.8,69.96,10.7,161.5,0,0
28/1/2015,Chachoengsao Rice research Center,,13.873,100.951,28,1,2015,2,24.5,25.5,25,23,88.7,6.5,57.5,0,1
29/1/2015,Chachoengsao Rice research Center,,13.873,100.951,29,1,2015,5,24.5,32.5,29.3,22.6,69.03,10,152.38,0,0
30/1/2015,Chachoengsao Rice research Center,,13.873,100.951,30,1,2015,3,25.5,30,27.9,23.8,79.16,7.4,175.5,0,1
31/1/2015,Chachoengsao Rice research Center,,13.873,100.951,31,1,2015,1,26,32,29.7,21.5,63.19,25.9,93.7,31.43,0
1/2/2015,Chachoengsao Rice research Center,,13.873,100.951,1,2,2015,2,25,31,28.8,15.3,44.24,24.1,89.1,0,0
2/2/2015,Chachoengsao Rice research Center,,13.873,100.951,2,2,2015,1,23.5,30.2,27.3,16.6,52.42,20.3,90.83,0,0
3/2/2015,Chachoengsao Rice research Center,,13.873,100.951,3,2,2015,12,24.5,27,25.7,18.2,63.43,13,65,0,0
4/2/2015,Chachoengsao Rice research Center,,13.873,100.951,4,2,2015,15,25.5,33,30.3,16.3,44.14,23,87.75,0,1
5/2/2015,Chachoengsao Rice research Center,,13.873,100.951,5,2,2015,20,25,29.5,27.2,14.4,45.55,20.3,90.75,0,0
6/2/2015,Chachoengsao Rice research Center,,13.873,100.951,6,2,2015,6,23.5,31.7,28.9,14.3,41.62,28.6,98,0,0
7/2/2015,Chachoengsao Rice research Center,,13.873,100.951,7,2,2015,0,23.5,30.8,27.8,14.8,45.9,14.8,87.83,0,0
8/2/2015,Chachoengsao Rice research Center,,13.873,100.951,8,2,2015,6,23,25.5,24.2,17.2,65.49,11.2,107.5,0,1
9/2/2015,Chachoengsao Rice research Center,,13.873,100.951,9,2,2015,0,23.5,32,28.3,15.3,45.89,23.2,98.13,0,0
10/2/2015,Chachoengsao Rice research Center,,13.873,100.951,10,2,2015,0,23,29,26.5,15.3,50.89,23.2,91.5,0,0
11/2/2015,Chachoengsao Rice research Center,,13.873,100.951,11,2,2015,0,23.5,32.7,30,18.1,50.46,10.6,119.5,0,1
12/2/2015,Chachoengsao Rice research Center,,13.873,100.951,12,2,2015,0,24.5,31.5,28.3,21.9,69.25,14.8,141.33,0,0
13/2/2015,Chachoengsao Rice research Center,,13.873,100.951,13,2,2015,0,27,28.5,27.7,22,71.05,19.4,190,0,0
14/2/2015,Chachoengsao Rice research Center,,13.873,100.951,14,2,2015,0,27,32,30,20.6,58.8,21.2,224.38,3,0
15/2/2015,Chachoengsao Rice research Center,,13.873,100.951,15,2,2015,0,24,29,26.8,22.2,76.03,17.6,140,5,1
16/2/2015,Chachoengsao Rice research Center,,13.873,100.951,16,2,2015,0,25.5,32.5,30.1,22.3,63.91,15.6,181.7,0.2,0
17/2/2015,Chachoengsao Rice research Center,,13.873,100.951,17,2,2015,0,25,31.6,29,21.8,65.93,13.8,156.17,0,1
18/2/2015,Chachoengsao Rice research Center,,13.873,100.951,18,2,2015,0,27,27.5,27.2,23,77.67,11.2,125,0,0
19/2/2015,Chachoengsao Rice research Center,,13.873,100.951,19,2,2015,0,26.5,33,30.3,21.4,59.87,19.4,161.25,0,3
20/2/2015,Chachoengsao Rice research Center,,13.873,100.951,20,2,2015,0,25,29,27.1,22.4,75.61,11.2,109,0,4
21/2/2015,Chachoengsao Rice research Center,,13.873,100.951,21,2,2015,0,26,32,29.4,22.3,67.31,20.5,187.2,9.82,2
22/2/2015,Chachoengsao Rice research Center,,13.873,100.951,22,2,2015,0,27.5,32.3,30.1,22.2,63.46,19.4,177.5,0,2
23/2/2015,Chachoengsao Rice research Center,,13.873,100.951,23,2,2015,0,25.5,28,26.7,23,80.06,13.9,127.5,0,3
24/2/2015,Chachoengsao Rice research Center,,13.873,100.951,24,2,2015,0,26.5,34,31.2,22.8,61.93,16.7,197,0,2
25/2/2015,Chachoengsao Rice research Center,,13.873,100.951,25,2,2015,0,26.5,32.5,29.9,22.9,67.27,17.5,158.67,0,2
26/2/2015,Chachoengsao Rice research Center,,13.873,100.951,26,2,2015,0,28,34,32.1,21.2,53.13,18.4,184.8,0,1
27/2/2015,Chachoengsao Rice research Center,,13.873,100.951,27,2,2015,0,28,33.5,31.3,22.4,60.24,14.8,181.17,0,1
28/2/2015,Chachoengsao Rice research Center,,13.873,100.951,28,2,2015,0,28,29.5,28.7,23.5,73.53,11.2,150,0,1
