province Thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,0,0,0,0,374010,318597,177701,68568,0,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,0,0,0,32097,54532,79300,94115,35221,21145,0,0
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,0,0,0,0,9507,31607,29027,11132,4486,3127,0,0
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,0,0,0,0,107700,251098,129212,1114,0,0,0,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,0,0,0,0,1112904,1179178,308881,132095,0,0,0,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,0,0,0,105605,193931,151637,59056,42035,66689,0,0
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,0,0,0,106498,105435,226122,207225,74499,28519,0,0
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,0,0,0,0,98489,711677,663316,77652,6703,0,0,0
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,3993,4794,5904,2154,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,0,0,0,0,18579,61637,247391,100665,11733,0,0,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,0,0,0,0,154745,210537,689438,112295,34520,0,0,0
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,0,0,0,27196,7327,19293,14440,807,2707,0,0
ชุมพร,Chumphon,10.3336087,99.18683478,0,0,0,0,0,0,107,1660,1556,639,0,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,0,0,0,0,402578,689415,319393,32647,0,0,0,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,0,0,0,0,126934,333520,448094,188710,56025,27737,0,0
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,0,0,0,502,3839,67759,298625,7351,0,0,0
ขอนแก่น,Khon Kaen,16.35285,102.598805,0,0,0,0,356796,1525839,310425,147047,0,0,0,0
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,102,1412,1850,1658,352,0,0
ลำปาง,Lampang,18.34986458,99.50325,0,0,0,0,6576,33813,257210,124292,0,0,0,0
ลำพูน,Lamphun,18.36132,98.96236,0,0,0,0,3420,12527,87820,13195,0,0,0,0
เลย,Loei,17.41748315,101.6434157,0,0,0,0,27707,64912,232779,46485,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,0,0,0,0,69256,90941,298995,156452,70633,18311,0,0
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,0,0,0,0,19279,43634,70862,26866,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,0,0,0,0,323255,1370338,297138,70389,9535,0,0,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,0,0,0,0,80460,102820,267624,38989,0,0,0,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,0,0,0,0,93020,78076,89337,63693,17813,13892,0,0
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,0,0,0,0,63576,85319,75404,58397,23760,15396,0,0
นครพนม,Nakhon Phanom,17.31057447,104.4821915,0,0,0,0,181835,732933,365034,54710,0,0,0,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,0,0,0,0,483003,1976355,885057,132670,7955,0,0,0
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,0,0,0,0,534862,707907,658402,230423,106707,5878,0,0
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,33468,4820,0,0,0,8589,16285,26824,36151,53061,29944,11778
น่าน,Nan,18.8794898,100.8094286,0,0,0,0,20747,43729,133062,24063,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,0,0,0,0,0,0,10658,23961,13318
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,0,0,0,0,122056,312845,212503,50884,0,0,0,0
หนองคาย,Nong Khai,17.91401639,102.8044262,0,0,0,0,146168,164763,178124,30515,0,0,0,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,0,0,0,19344,25912,20639,6426,8870,6615,0,0
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,0,0,0,62238,81404,86665,34659,18122,28285,0,0
ปัตตานี,Pattani,6.756087719,101.3607456,0,0,0,0,0,0,0,0,6575,44082,41191,7389
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,977,707,293,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,22654,12130,0,0,0,3573,1621,9885,25967,35098,15870,2186
พะเยา,Phayao,19.28419403,100.0843134,0,0,0,0,25724,207482,294300,95134,0,0,0,0
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,0,0,0,0,217860,300718,309542,127088,65430,46150,0,0
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,0,0,0,0,3846,21844,36601,161650,53076,12791,0,0
พิจิตร,Phichit,16.25902273,100.3543182,0,0,0,0,219591,503618,434872,277115,69455,55428,0,0
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,0,0,0,0,227657,545333,371782,118743,40668,0,0,0
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,0,0,0,0,177263,186082,114953,151617,46870,39505,0,0
แพร่,Phrae,18.15474026,100.0967013,0,0,0,0,0,35322,213105,33803,1401,0,0,0
