province thai,province Eng,Lat,long,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,520,123,0,0,0,0,0,0,0,0,0,695
อ่างทอง,Ang Thong,14.61094444,100.3843056,2349,1476,308,0,0,0,0,0,0,0,11185,8125
กรุงเทพ,Bangkok,13.75785621,100.5558824,15448,8860,2723,1846,0,0,0,0,0,0,29179,25923
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,3508,273,0,0,0,0,0,0,0,0,1476,4324
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,3540,0,0,0,0,0,0,0,0,0,424,2478
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,35083,8017,4799,1701,0,0,0,0,0,0,204174,100474
ชัยนาท,Chai Nat,15.15194231,100.0815577,30315,1827,484,0,0,0,0,0,0,0,61102,54028
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,9733,413,24,0,0,0,0,0,0,0,513,11232
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,43331,9430,2934,1064,0,0,0,0,0,0,756,8915
เชียงราย,Chiang Rai,19.88303252,99.92217886,184772,86696,7543,0,0,0,0,0,0,0,0,10497
ชลบุรี,Chon Buri,13.15463158,101.0628947,3569,2192,736,381,0,0,0,0,0,0,26268,7592
ชุมพร,Chumphon,10.3336087,99.18683478,28,221,301,0,0,0,0,0,0,0,0,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,182802,28031,245,0,0,0,0,0,0,0,291,27207
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,82690,13476,3230,199,0,0,0,0,0,0,61473,90002
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,1475,6756,1980,389,0,0,0,0,0,0,286,944
ขอนแก่น,Khon Kaen,16.35285,102.598805,3782,462,0,0,0,0,0,0,0,0,493,5714
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,2255,767,0,0,0,0,0,0,0,0,0,1197
ลำพูน,Lamphun,18.36132,98.96236,3901,2155,478,0,0,0,0,0,0,0,0,1614
เลย,Loei,17.41748315,101.6434157,17,0,0,0,0,0,0,0,0,0,0,68
ลพบุรี,Lop Buri,15.02860833,100.7969417,4779,1176,0,0,0,0,0,0,0,0,4855,8089
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,44,0,0,0,0,0,0,0,0,0,0,13
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,5594,175,0,0,0,0,0,0,0,0,45,2391
มุกดาหาร,Mukdahan,16.53405769,104.5682885,208,0,0,0,0,0,0,0,0,0,0,53
นครนายก,Nakhon Nayok,14.18082927,101.1229756,16345,4316,1555,111,0,0,0,0,0,0,44706,23404
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,31129,24686,19822,5466,0,0,0,0,0,0,69227,48873
นครพนม,Nakhon Phanom,17.31057447,104.4821915,7594,1797,23,0,0,0,0,0,0,0,6142,35100
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,12980,23163,3580,0,0,0,0,0,0,0,1236,7428
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,46453,12780,5559,1775,0,0,0,0,0,0,82097,57311
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,0,0,52729,21801,14689,14047,0,0,0,0,0,0
น่าน,Nan,18.8794898,100.8094286,4191,7,0,0,0,0,0,0,0,0,0,31
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,24,98,35,0,0,0,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,3846,205,0,0,0,0,0,0,0,0,0,1906
หนองคาย,Nong Khai,17.91401639,102.8044262,17792,1098,56,0,0,0,0,0,0,0,3775,44677
นนทบุรี,Nonthaburi,13.88841176,100.4345882,11549,2738,2703,1136,0,0,0,0,0,0,36880,23877
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,29414,23359,7681,1786,0,0,0,0,0,0,33457,31739
ปัตตานี,Pattani,6.756087719,101.3607456,0,0,728,1733,7530,11031,0,0,0,0,0,0
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,0,0,0,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,0,0,3819,16651,21537,1038,0,0,0,0,0,0
พะเยา,Phayao,19.28419403,100.0843134,15884,5427,797,0,0,0,0,0,0,0,381,3926
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,3475,1130,598,0,0,0,0,0,0,0,9488,5129
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,1561,2024,2707,668,0,0,0,0,0,0,329,273
พิจิตร,Phichit,16.25902273,100.3543182,67922,7186,4830,1606,0,0,0,0,0,0,103911,143607
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,62706,18922,2205,0,0,0,0,0,0,0,90491,156525
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,54209,19111,6837,2121,0,0,0,0,0,0,189087,119975
แพร่,Phrae,18.15474026,100.0967013,3952,279,0,0,0,0,0,0,0,0,1024,14754
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,10393,3477,2283,1198,0,0,0,0,0,0,96069,21586
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,1071,563,156,0,0,0,0,0,0,0,71,329
ระนอง,Ranong,9.84295,98.57283333,0,0,0,0,0,0,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,1124,899,709,132,0,0,0,0,0,0,6226,2282
ระยอง,Rayong,12.77290909,101.4139394,789,614,505,289,0,0,0,0,0,0,383,408
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,32573,11416,312,0,0,0,0,0,0,0,138,16516
สระแก้ว,Sa kaeo,13.72012069,102.3403103,540,42,0,0,0,0,0,0,0,0,11,84
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,5077,771,0,0,0,0,0,0,0,0,1641,15845
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,1510,812,167,0,0,0,0,0,0,0,10023,4748
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,1070,532,290,85,0,0,0,0,0,0,571,1002
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,22,134,0,0,0,0,0,0,0,0,0
สระบุรี,Saraburi,14.55531481,100.8865463,4731,2337,759,197,0,0,0,0,0,0,3728,7925
สตูล,Satun,6.695068182,99.72796591,0,41,135,24,0,0,0,0,0,0,0,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,27293,7255,328,0,0,0,0,0,0,0,1004,21991
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,2002,1122,216,0,0,0,0,0,0,0,16539,8185
สงขลา,Songkhla,7.117804348,100.5218768,0,0,3238,6134,8110,28424,0,0,0,0,0,0
สุโขทัย,Sukhothai,17.1496,99.79715294,37799,7687,2756,669,0,0,0,0,0,0,100746,65009
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,69553,12913,3665,1090,0,0,0,0,0,0,183132,158325
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,1184,262,0,0,0,0,0,0,0,0,568,1706
สุรินทร์,Surin,14.93708228,103.669962,4852,136,0,0,0,0,0,0,0,0,966,16542
ตาก,Tak,16.84066102,98.83098305,1207,230,44,0,0,0,0,0,0,0,96,493
ตรัง,Trang,7.479578947,99.55433333,0,73,142,50,0,0,0,0,0,0,0,0
ตราด,Trat,12.10803774,102.4909057,1509,33,0,0,0,0,0,0,0,0,0,75
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,47216,6926,0,0,0,0,0,0,0,0,1122,36509
อุดรธานี,Udon Thani,17.40975974,102.883539,9323,572,0,0,0,0,0,0,0,0,3752,21314
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,10314,3784,529,289,0,0,0,0,0,0,29955,24295
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,26552,2374,507,0,0,0,0,0,0,0,5752,29932
