province Thai,province Eng,lat,long,พันธุ์พื้นเมือง,กข-6,กข-15,ขาวดอกมะลิ-105,"สุพรรณบุรี-60,90",ราชการไวต่อแสง,ราชการไม่ไวต่อแสง,ชัยนาท-1,คลองหลวง-1,หอมสุพรรณบุรี,ปทุมธานี-1,สุพรรณบุรี-1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,18634,316091,19208,581756,0,0,3187,0,0,0,0,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,9319,0,0,7236,0,2363,165756,0,0,0,128647,3089
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,0,0,0,0,0,0,64597,0,0,0,18263,6026
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,3684,377659,0,90362,0,10886,6533,0,0,0,0,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,99092,139994,75042,2402761,0,12197,3972,0,0,0,0,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,1762,3011,0,82634,28494,163655,257483,0,0,0,28640,53274
ชัยนาท,Chai Nat,15.15194231,100.0815577,3024,0,0,17425,0,0,451939,13865,0,0,209634,52411
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,90833,592942,33966,741165,0,40344,58587,0,0,0,0,0
จันทบุรี,Chanthaburi,12.67759036,102.1161687,3499,0,0,11041,0,546,737,274,0,0,748,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,85610,163027,1026,35452,0,7643,144145,0,0,0,3102,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,29347,748044,129912,118460,14077,14135,135250,2513,0,675,6257,2865
ชลบุรี,Chon Buri,13.15463158,101.0628947,1015,0,0,20550,1992,3508,33641,554,667,0,9473,370
ชุมพร,Chumphon,10.3336087,99.18683478,846,0,0,147,0,762,0,0,0,0,2207,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,20244,1044297,2367,366972,0,8879,1274,0,0,0,0,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,12370,10927,0,90354,11687,40887,907253,10327,0,2456,41993,52766
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,34682,0,0,89646,0,5347,68291,8641,0,4231,64090,103148
ขอนแก่น,Khon Kaen,16.35285,102.598805,53384,1646500,15362,577822,0,11892,35147,0,0,0,0,0
กระบี่,Krabi,8.009243243,98.93368468,1448,0,0,374,0,3443,0,0,0,0,109,0
ลำปาง,Lampang,18.34986458,99.50325,5763,302462,0,35565,0,7111,70990,0,0,0,0,0
ลำพูน,Lamphun,18.36132,98.96236,8534,71069,727,11133,0,2421,22258,0,0,0,820,0
เลย,Loei,17.41748315,101.6434157,51002,224636,0,9635,0,35678,50932,0,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,23524,0,0,238546,0,2634,234314,30485,0,0,116410,58675
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,50362,6024,0,41137,0,3354,59764,0,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,15267,984443,28646,1010374,0,12474,19451,0,0,0,0,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,32047,318879,9630,99024,0,9844,20469,0,0,0,0,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,28634,0,0,19559,0,79563,199923,5728,0,0,20347,2077
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,966,0,0,0,1122,0,273100,0,0,0,35920,10744
นครพนม,Nakhon Phanom,17.31057447,104.4821915,90246,572315,72634,490738,0,53910,54669,0,0,0,0,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,201474,191343,50324,2707058,3678,119042,111044,62490,0,0,13960,24627
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,78964,4876,0,737485,13287,12637,950094,91176,0,4254,65332,286074
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,38502,0,0,4368,0,5615,115154,1337,0,0,55944,0
น่าน,Nan,18.8794898,100.8094286,20393,78962,0,4287,0,83651,34308,0,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,39054,0,0,0,0,3246,5637,0,0,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,30246,497569,13252,114399,0,17435,25387,0,0,0,0,0
หนองคาย,Nong Khai,17.91401639,102.8044262,14596,295372,17462,95634,0,41490,55016,0,0,0,0,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,0,0,0,0,0,87451,0,0,0,355,0
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,0,0,0,0,0,286160,0,0,0,20346,4867
ปัตตานี,Pattani,6.756087719,101.3607456,76336,0,0,0,0,10227,12674,0,0,0,0,0
พังงา,Phang-nga,8.655536232,98.27214493,495,0,0,378,0,0,541,0,0,0,563,0
พัทลุง,Phatthalung,7.54880303,100.0667121,74474,0,0,0,0,10317,25801,10367,0,0,8025,0
พะเยา,Phayao,19.28419403,100.0843134,16736,185460,61984,256652,0,69666,27310,2819,0,0,2013,0
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,120637,71816,0,215403,8351,33920,501246,66868,0,0,33300,15247
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,1865,0,0,1524,2643,0,174826,40117,0,0,9700,59133
พิจิตร,Phichit,16.25902273,100.3543182,30574,0,2093,320476,13220,52989,817926,50247,0,4026,38944,229584
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,30258,51943,3247,234164,6842,40520,732461,60241,0,0,46819,97688
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,19776,0,0,3024,0,12778,575178,0,0,0,30288,75246
แพร่,Phrae,18.15474026,100.0967013,9112,118295,812,19043,0,32049,104320,0,0,0,0,0
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,72,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,12674,5269,0,75966,5687,173231,118110,0,0,0,4222,2864
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,624,0,0,939,0,0,2734,1563,0,0,1459,1258
ระนอง,Ranong,9.84295,98.57283333,421,0,0,0,0,243,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,6964,0,0,12696,0,0,92531,21139,0,0,29318,92577
ระยอง,Rayong,12.77290909,101.4139394,593,0,0,4236,706,0,7908,0,0,0,1010,1213
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,26957,703622,74180,2231111,0,13508,11310,0,0,0,0,0
สระแก้ว,Sa kaeo,13.72012069,102.3403103,23039,14061,0,604442,0,45963,30951,0,0,0,2442,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,55246,1470319,102995,391774,0,27279,45322,0,0,0,0,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,0,0,0,657,0,13293,0,0,0,4818,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,0,0,0,0,0,5429,0,0,0,323,296
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,0,0,0,0,0,1530,0,0,0,0,1109
สระบุรี,Saraburi,14.55531481,100.8865463,12284,0,0,15775,0,0,236394,6937,0,0,19333,36873
สตูล,Satun,6.695068182,99.72796591,18915,0,0,0,0,0,0,0,0,0,2648,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,53074,164488,103242,2601207,0,41277,13332,0,0,0,0,0
สิงห์บุรี,Sing Buri,14.88357143,100.3582143,0,4576,0,1123,0,0,195857,0,0,0,67452,18644
สงขลา,Songkhla,7.117804348,100.5218768,68753,0,0,0,0,50515,47341,8371,0,0,15262,0
สุโขทัย,Sukhothai,17.1496,99.79715294,42637,16357,2863,110288,44911,4336,655813,21173,0,1267,8776,52463
สุพรรณบุรี,Suphan Buri,14.53585185,100.015287,1230,0,0,68540,0,0,951895,0,0,0,132920,48347
สุราษฎร์ธานี,Surat Thani,9.228121053,99.40556316,296,0,0,487,0,474,1003,0,0,0,3286,289
สุรินทร์,Surin,14.93708228,103.669962,28301,6380,481108,2547440,0,0,7625,0,0,0,0,0
ตาก,Tak,16.84066102,98.83098305,68438,18733,0,93385,0,9725,19722,4485,0,0,3596,1856
ตรัง,Trang,7.479578947,99.55433333,7405,0,0,0,0,0,4479,0,0,0,179,0
ตราด,Trat,12.10803774,102.4909057,1425,0,0,13857,0,74,299,0,0,0,519,0
อุบลราชธานี,Ubon Ratchathani,15.27789498,105.0215845,58246,929375,356274,2433259,0,50484,34838,0,0,0,0,0
อุดรธานี,Udon Thani,17.40975974,102.883539,53402,1259397,98146,263779,0,44177,21237,0,0,0,0,0
อุทัยธานี,Uthai Thani,15.37220588,99.80179412,9275,0,0,21046,13040,0,290456,86340,0,0,35627,20134
อุตรดิตถ์,Uttaradit,17.63522727,100.3226667,7524,49197,0,61774,5107,3933,248635,2173,0,1950,101340,63352
ยะลา,Yala,6.389631579,101.2610877,15768,0,0,0,0,1233,1637,0,0,0,0,0
ยโสธร,Yasothon,15.83362821,104.3002051,25370,436272,27863,785670,0,13838,8540,0,0,0,0,0
