province Thai,province Eng,lat,long,กข 10,กขไม่ไวแสง,สุพรรณบุรี 60-90,ราชการไม่ไวแสง,พิษณุโลก2 60-2,ชัยนาท 1-2,หอมสุพรรณบุรี,ปทุมธานี 1,สุพรรณบุรี 1
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,245,246,0,597,0,485,0,74,0
อ่างทอง,Ang Thong,14.61094444,100.3843056,0,198467,0,1572,3743,0,0,66301,1477
กรุงเทพ,Bangkok,13.75785621,100.5558824,0,71382,0,5065,4779,0,0,19534,1102
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,4573,2174,0,2506,0,210,0,494,0
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,433,3793,0,3824,0,19414,0,2768,0
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,0,274962,8888,14183,59207,0,0,22977,11857
ชัยนาท,Chai Nat,15.15194231,100.0815577,0,423195,0,786,496,1102,0,99158,1971
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,15686,8823,3313,11651,4666,5704,0,1321,6623
จันทบุรี,Chanthaburi,12.67759036,102.1161687,0,0,0,0,0,0,0,0,0
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,943,2691,0,124569,0,0,0,0,0
เชียงราย,Chiang Rai,19.88303252,99.92217886,15948,25955,0,172623,109309,0,0,46939,37889
ชลบุรี,Chon Buri,13.15463158,101.0628947,0,26651,2699,5702,1580,685,0,1821,548
ชุมพร,Chumphon,10.3336087,99.18683478,0,0,0,119,0,97,0,509,0
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,63112,97623,0,58672,33369,27710,0,130,0
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,0,472337,3521,39942,71308,1832,0,1482,18339
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,0,34343,0,934,0,1266,0,72237,75754
ขอนแก่น,Khon Kaen,16.35285,102.598805,46531,14514,0,10095,55232,18594,0,1747,393
กระบี่,Krabi,8.009243243,98.93368468,0,0,0,0,0,0,0,0,0
ลำปาง,Lampang,18.34986458,99.50325,824,9588,0,29918,396,0,0,0,0
ลำพูน,Lamphun,18.36132,98.96236,120,1149,0,16462,0,0,0,0,0
เลย,Loei,17.41748315,101.6434157,163,41,0,748,0,0,0,0,0
ลพบุรี,Lop Buri,15.02860833,100.7969417,0,233554,274,592,0,979,0,100701,11848
แม่ฮ่องสอน,Mae Hong Son,18.766,98.06297674,0,39,0,52,0,0,0,0,0
มหาสารคาม,Maha Sarakham,15.98990226,103.1893308,21141,42673,988,5008,48733,52506,0,358,0
มุกดาหาร,Mukdahan,16.53405769,104.5682885,243,0,0,250,0,0,0,0,0
นครนายก,Nakhon Nayok,14.18082927,101.1229756,0,126304,421,17547,11369,453,0,4607,796
นครปฐม,Nakhon Pathom,13.87357143,100.1243048,0,247911,0,12805,14023,0,90,12499,4522
นครพนม,Nakhon Phanom,17.31057447,104.4821915,26622,4759,0,28452,0,2366,0,514,0
นครราชสีมา,Nakhon Ratchasima,15.08644014,102.1976901,0,79805,7811,5515,2574,63135,0,3232,15351
นครสวรรค์,Nakhon Sawan,15.67782946,100.1931783,0,731118,1112,37785,11843,4567,0,10400,16854
นครศรีธรรมราช,Nakhon Si Thammarat,8.34487574,99.86193491,0,54638,714,4855,933,1483,0,2517,798
น่าน,Nan,18.8794898,100.8094286,396,68,0,6515,0,0,0,0,0
นราธิวาส,Narathiwat,6.234092105,101.7531711,0,0,0,52,0,173,0,0,0
หนองบัวลำภู,Nong Bua Lam Phu,17.18251724,102.3142586,3787,6199,0,4448,0,5281,0,2829,0
หนองคาย,Nong Khai,17.91401639,102.8044262,56041,9253,0,20641,0,595,0,307,0
นนทบุรี,Nonthaburi,13.88841176,100.4345882,0,94739,0,1741,358,0,0,366,327
ปทุมธานี,Pathum Thani,14.04674576,100.6253898,0,248573,0,7219,6222,0,0,10369,1801
ปัตตานี,Pattani,6.756087719,101.3607456,0,8931,0,0,0,6203,417,0,0
พังงา,Phang-nga,8.655536232,98.27214493,0,0,0,0,0,0,0,0,0
พัทลุง,Phatthalung,7.54880303,100.0667121,0,17979,0,10082,1233,2540,0,6126,188
พะเยา,Phayao,19.28419403,100.0843134,1245,7819,0,22896,28772,0,0,0,0
เพชรบูรณ์,Phetchabun,16.27352174,101.110113,1833,13830,0,17204,2884,644,0,1167,1299
เพชรบุรี,Phetchaburi,13.04547253,99.88163736,0,78672,230,2779,3520,22945,0,2085,29194
พิจิตร,Phichit,16.25902273,100.3543182,0,539149,981,105924,78490,4374,0,460,17175
พิษณุโลก,Phitsanulok,16.87664516,100.3781935,2267,542055,4894,90898,161295,9390,429,7432,25543
อยุธยา,Phra Nakhon Si Ayutthaya,14.37482039,100.5316117,0,615162,0,5027,38190,1164,112,25630,38654
แพร่,Phrae,18.15474026,100.0967013,6927,8484,0,20023,0,0,0,0,0
ภูเก็ต,Phuket,7.887342105,98.36747368,0,0,0,0,0,0,0,0,0
ปราจีนบุรี,Prachin Buri,13.99596825,101.5334444,0,97872,1207,9861,3245,1014,0,1745,18488
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.87997872,99.66968085,0,1075,322,131,19,3529,0,1764,120
ระนอง,Ranong,9.84295,98.57283333,0,0,0,0,0,0,0,0,0
ราชบุรี,Ratchaburi,13.60378641,99.80105825,0,37254,1566,5390,917,9892,0,23198,95235
ระยอง,Rayong,12.77290909,101.4139394,0,2273,594,347,0,264,0,70,90
ร้อยเอ็ด,Roi Et,15.94159686,103.8014241,6554,112847,1014,7268,32614,73211,0,871,1415
สระแก้ว,Sa kaeo,13.72012069,102.3403103,0,3430,0,268,0,2952,0,15841,0
สกลนคร,Sakon Nakhon,17.40146774,103.8297419,19742,4928,0,66064,0,545,0,912,0
สมุทรปราการ,Samut Prakarn,13.61855102,100.655449,0,13442,1905,659,3072,0,0,3466,0
สมุทรสาคร,Samut Sakhon,13.58789744,100.2134103,0,2486,0,251,1174,0,0,85,71
สมุทรสงคราม,Samut Songkhram,13.43411429,99.95694286,0,1152,0,126,88,185,0,0,342
สระบุรี,Saraburi,14.55531481,100.8865463,0,165532,0,827,805,2146,0,14301,35113
สตูล,Satun,6.695068182,99.72796591,0,46,0,53,0,0,0,86,0
ศรีสะเกษ,Si Sa Ket,14.94141872,104.3277783,3408,3210,0,12764,0,61660,0,6020,0
