province_th,region_th,region_en
กระบี่,ภาคใต้,South
ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,Northeast
ฉะเชิงเทรา,ภาคตะวันออก,East
ชัยนาท,ภาคกลาง,Central
นครนายก,ภาคกลาง,Central
นครปฐม,ภาคกลาง,Central
นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,Northeast
นครศรีธรรมราช,ภาคใต้,South
นครสวรรค์,ภาคกลาง,Central
ปทุมธานี,ภาคกลาง,Central
ปัตตานี,ภาคใต้,South
พัทลุง,ภาคใต้,South
พิษณุโลก,ภาคเหนือ,North
ราชบุรี,ภาคตะวันตก,West
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,Northeast
ลพบุรี,ภาคกลาง,Central
สกลนคร,ภาคตะวันออกเฉียงเหนือ,Northeast
สิงห์บุรี,ภาคกลาง,Central
สุรินทร์,ภาคตะวันออกเฉียงเหนือ,Northeast
สุโขทัย,ภาคเหนือ,North
หนองคาย,ภาคตะวันออกเฉียงเหนือ,Northeast
อยุธยา,ภาคกลาง,Central
อุดรธานี,ภาคตะวันออกเฉียงเหนือ,Northeast
อุทัยธานี,ภาคกลาง,Central
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,Northeast
เชียงราย,ภาคเหนือ,North
เชียงใหม่,ภาคเหนือ,North
แพร่,ภาคเหนือ,North
แม่ฮ่องสอน,ภาคเหนือ,North
