province_th,province_en,region_th,region_en,n_stations,stations
ชัยนาท,Chai Nat,ภาคกลาง,Central,1,Chai Nat Rice research Center
ลพบุรี,Lop Buri,ภาคกลาง,Central,2,"Lopburi Rice Seed Center, Lopburi Rice research Center"
นครนายก,Nakhon Nayok,ภาคกลาง,Central,1,Prachinburi Rice research Center
นครปฐม,Nakhon Pathom,ภาคกลาง,Central,1,Ratchaburi Rice Seed Center 1
นครสวรรค์,Nakhon Sawan,ภาคกลาง,Central,1,Nakhon Sawan Rice Seed Center
ปทุมธานี,Pathum Thani,ภาคกลาง,Central,2,"Khlong Luang Rice research Center, Pathum Thani Rice research Center"
อยุธยา,Phra Nakhon Si Ayutthaya,ภาคกลาง,Central,1,Phra Nakhon Si Ayutthaya Rice research Center
สิงห์บุรี,Sing Buri,ภาคกลาง,Central,1,Chai Nat Rice Seed Center 2
อุทัยธานี,Uthai Thani,ภาคกลาง,Central,1,Chai Nat Rice Seed Center 1
ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,East,1,Chachoengsao Rice research Center
เชียงใหม่,Chiang Mai,ภาคเหนือ,North,1,Samoeng Rice research Center
เชียงราย,Chiang Rai,ภาคเหนือ,North,2,"Chiang Mai Rice research Center, Chiangrai Rice research Center"
แม่ฮ่องสอน,Mae Hong Son,ภาคเหนือ,North,1,Mae Hong Son Rice research Center
พิษณุโลก,Phitsanulok,ภาคเหนือ,North,1,Phitsanulok Rice Seed Center
แพร่,Phrae,ภาคเหนือ,North,1,Phrae Rice research Center
สุโขทัย,Sukhothai,ภาคเหนือ,North,1,Sukhothai Rice Seed Center
ขอนแก่น,Khon Kaen,ภาคตะวันออกเฉียงเหนือ,Northeast,2,"Chum Phae Rice research Center, Khon Kaen Rice research Center"
นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,Northeast,1,Nakhon Ratchasima Rice research Center
หนองคาย,Nong Khai,ภาคตะวันออกเฉียงเหนือ,Northeast,1,Nong Khai Rice research Center
ร้อยเอ็ด,Roi Et,ภาคตะวันออกเฉียงเหนือ,Northeast,1,Roi Et Rice Seed Center
สกลนคร,Sakon Nakhon,ภาคตะวันออกเฉียงเหนือ,Northeast,1,Sakon Nakhon Rice research Center
สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,Northeast,1,Surin Rice research Center
อุบลราชธานี,Ubon Ratchathani,ภาคตะวันออกเฉียงเหนือ,Northeast,1,Ubon Ratchathani Rice research Center
อุดรธานี,Udon Thani,ภาคตะวันออกเฉียงเหนือ,Northeast,1,Udon Thani Rice research Center
กระบี่,Krabi,ภาคใต้,South,1,Krabi Rice research Center
นครศรีธรรมราช,Nakhon Si Thammarat,ภาคใต้,South,1,Nakhon Si Thammarat Rice research Center
ปัตตานี,Pattani,ภาคใต้,South,1,Pattani Rice research Center
พัทลุง,Phatthalung,ภาคใต้,South,1,Phatthalung Rice research Center
ราชบุรี,Ratchaburi,ภาคตะวันตก,West,2,"Ratchaburi Rice Seed Center2, Ratchaburi Rice research Center"
