province_th,province_en,lat,lon,variety_raw,area_rai,year,crop_season,variety_norm,source_file
อำนาจเจริญ,Amnat Charoen,15.85274545,104.7030364,พันธุ์พื้นเมือง,21805,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
อ่างทอง,Ang Thong,14.61094444,100.3843056,พันธุ์พื้นเมือง,5246,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กรุงเทพฯ,Bangkok,13.75785621,100.5558824,พันธุ์พื้นเมือง,0,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
บึงกาฬ,Bueng Kan,18.15978846,103.6703269,พันธุ์พื้นเมือง,4131,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
บุรีรัมย์,Buri Ram,14.89489362,102.9742287,พันธุ์พื้นเมือง,115295,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ฉะเชิงเทรา,Chachoengsao,13.68568478,101.1367174,พันธุ์พื้นเมือง,2866,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชัยนาท,Chai Nat,15.15194231,100.0815577,พันธุ์พื้นเมือง,9024,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชัยภูมิ,Chaiyaphum,15.97104065,101.9395366,พันธุ์พื้นเมือง,122541,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
จันทบุรี,Chanthaburi,12.67759036,102.1161687,พันธุ์พื้นเมือง,5281,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เชียงใหม่,Chiang Mai,18.8569697,98.9199899,พันธุ์พื้นเมือง,89889,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
เชียงราย,Chiang Rai,19.88303252,99.92217886,พันธุ์พื้นเมือง,48817,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชลบุรี,Chon Buri,13.15463158,101.0628947,พันธุ์พื้นเมือง,1589,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
ชุมพร,Chumphon,10.3336087,99.18683478,พันธุ์พื้นเมือง,2103,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กาฬสินธุ์,Kalasin,16.58667669,103.6133985,พันธุ์พื้นเมือง,25500,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กำแพงเพชร,Kamphaeng Phet,16.37223377,99.65637662,พันธุ์พื้นเมือง,15692,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
กาญจนบุรี,Kanchanaburi,14.22504255,99.4401383,พันธุ์พื้นเมือง,35695,2015,in_season,พันธุ์พื้นเมือง,Varieties-production volume of rice in-season Rai(unit) 2015.csv
